model,datasets,n_metric_obs,mean_z,median_z,rank
qwen/qwen3.5-flash-02-23,67,67,0.37541353494320434,0.3611373460391671,26
qwen/qwen3-next-80b-a3b-instruct,66,66,0.3735916479568801,0.3642687191897062,27
anthropic/claude-sonnet-4,66,66,0.3698784120838532,0.5988398841765756,28
mistralai/mistral-medium-3.1,67,67,0.3469200120966299,0.39891338931719167,29
deepseek/deepseek-chat-v3.1,66,66,0.31134241200155005,0.398964895913285,30
nex-agi/deepseek-v3.1-nex-n1,66,66,0.3055008667712388,0.39196255082398535,31
anthropic/claude-3.7-sonnet,67,67,0.2879415156055767,0.3492834674182846,32
openai/gpt-4o,67,67,0.26200972563503533,0.2538370657953649,33
mistralai/mistral-large-2512,67,67,0.25430719549384834,0.44467128152246427,34
z-ai/glm-4.6,66,66,0.24243606156353484,0.40229607555723346,35
anthropic/claude-haiku-4.5,67,67,0.21998321930043185,0.35719965071465387,36
nvidia/nemotron-3-super-120b-a12b,66,66,0.21499692467763074,0.281148738542111,37
openai/gpt-4.1-mini,66,66,0.21252419949582924,0.24701006708356513,38
nousresearch/hermes-4-405b,66,66,0.147813068576456,0.16725176403522238,39
deepcogito/cogito-v2.1-671b,66,65,0.13551652681476065,0.22437206281089236,40
mistralai/mixtral-8x22b-instruct,66,66,0.1105452210171214,0.2166556685654445,41
baidu/ernie-4.5-vl-424b-a47b,67,67,0.11045898372776262,0.05657245810532089,42
openai/gpt-5.4-nano,66,66,0.09608431947660737,0.13561032213882085,43
deepseek/deepseek-chat-v3-0324,66,66,0.06568979239484715,0.16970911205591926,44
openai/gpt-4o-mini,67,67,0.033372282166386956,0.0528283552889436,45
allenai/olmo-3.1-32b-instruct,66,66,0.02556087104854656,0.0990191703083321,46
google/gemma-3-12b-it,67,67,-0.030676266483742696,-0.01582690708800715,47
ai21/jamba-large-1.7,66,66,-0.06087804652807819,-0.0969661251938488,48
deepseek/deepseek-chat,66,66,-0.06797821866183469,0.07031965491558426,49
nousresearch/hermes-4-70b,66,66,-0.08621156331969329,-0.1975281874821483,50
google/gemma-3-27b-it,67,67,-0.08930192038010595,0.018894301141828128,51
nousresearch/hermes-3-llama-3.1-405b,66,66,-0.1275993911587902,-0.20322193859753093,52
qwen/qwen-turbo,66,66,-0.15633054077102554,-0.09846479629641097,53
mistralai/ministral-8b-2512,67,67,-0.16925786908408616,-0.33504690341952253,54
meta-llama/llama-3.1-70b-instruct,66,66,-0.2279545812080085,-0.2867842400560956,55
mistralai/pixtral-large-2411,67,67,-0.25567888453114723,-0.24518945965848274,56
nvidia/nemotron-nano-12b-v2-vl,67,67,-0.2784162646718248,-0.3343332608875161,57
amazon/nova-lite-v1,67,67,-0.29058232720847343,-0.28710100686169787,58
amazon/nova-pro-v1,67,67,-0.2949088069225194,-0.24128467409035745,59
amazon/nova-2-lite-v1,67,67,-0.3044011131935225,-0.32532745613917236,60
google/gemma-3-4b-it,67,67,-0.3108176510306282,-0.25034773663081045,61
arcee-ai/trinity-large-preview,66,66,-0.31086630901109835,-0.19256290363300088,62
meta-llama/llama-3.3-70b-instruct,66,66,-0.34304164338357424,-0.3935258286604493,63
minimax/minimax-01,67,67,-0.35477628235109104,-0.27954727989565115,64
meta-llama/llama-4-scout,67,67,-0.38261654165798853,-0.4125038214086408,65
tencent/hunyuan-a13b-instruct,66,65,-0.40305582058880646,-0.4414155551969565,66
nvidia/nemotron-nano-9b-v2,66,66,-0.4179817619153118,-0.42590656956438505,67
mistralai/mistral-nemo,66,66,-0.4399503970858224,-0.4498220359706109,68
google/gemma-2-27b-it,66,55,-0.4620045417471448,-0.4831724406308729,69
meta-llama/llama-4-maverick,67,67,-0.5111657885668315,-0.529267967552775,70
amazon/nova-micro-v1,66,66,-0.5404487009432056,-0.5580724588164394,71
meta-llama/llama-3.2-11b-vision-instruct,67,66,-0.5947922602804596,-0.6482441614108139,72
meta-llama/llama-3.1-8b-instruct,66,65,-0.6848920071959207,-0.714316328866822,73
meta-llama/llama-3-8b-instruct,66,66,-0.6920040808803111,-0.7974008810411847,74
ibm-granite/granite-4.0-h-micro,66,66,-0.736723467086019,-0.9451135186781758,75
nvidia/nemotron-3-nano-30b-a3b,66,66,-0.9858454643770722,-0.9036313329669394,76
minimax/minimax-m2-her,66,66,-1.0258424331285318,-1.1156686555949369,77
qwen/qwen3-14b,66,65,-1.0404037035091813,-0.9613656675992039,78
z-ai/glm-4.5v,67,64,-1.0447166827158914,-0.716947334455525,79
meta-llama/llama-3.2-3b-instruct,66,64,-1.098695252056574,-1.3125481598105653,80
mistralai/mistral-small-3.1-24b-instruct,67,67,-1.2055719436222752,-0.8795193802197856,81
morph/morph-v3-fast,66,59,-1.4312503053086858,-1.8304176014825218,82
nousresearch/hermes-3-llama-3.1-70b,66,66,-1.5894783811408637,-1.8006655772736408,83
