benchmark,model,item_id,metric,jrt_gold,agc_judge_score,family
arastories,amazon/nova-2-lite-v1,msa_615,variety,3,3.0,amazon
arastories,amazon/nova-2-lite-v1,msa_812,variety,4,2.0,amazon
arastories,amazon/nova-2-lite-v1,msa_910,variety,3,3.0,amazon
arastories,amazon/nova-lite-v1,egyptian_235,variety,2,2.0,amazon
arastories,amazon/nova-lite-v1,egyptian_762,variety,2,3.0,amazon
arastories,amazon/nova-lite-v1,egyptian_787,variety,3,3.0,amazon
arastories,amazon/nova-lite-v1,moroccan_120,variety,3,3.0,amazon
arastories,amazon/nova-lite-v1,moroccan_534,variety,3,3.0,amazon
arastories,amazon/nova-lite-v1,msa_30,variety,4,3.0,amazon
arastories,amazon/nova-lite-v1,msa_514,variety,3,3.0,amazon
arastories,amazon/nova-lite-v1,msa_601,variety,3,4.0,amazon
arastories,amazon/nova-lite-v1,msa_615,variety,2,3.0,amazon
arastories,amazon/nova-lite-v1,msa_817,variety,4,3.0,amazon
arastories,amazon/nova-lite-v1,msa_944,variety,5,3.0,amazon
arastories,amazon/nova-micro-v1,egyptian_235,variety,3,3.0,amazon
arastories,amazon/nova-micro-v1,egyptian_53,variety,3,3.0,amazon
arastories,amazon/nova-micro-v1,egyptian_765,variety,3,3.0,amazon
arastories,amazon/nova-micro-v1,egyptian_769,variety,3,3.0,amazon
arastories,amazon/nova-micro-v1,moroccan_301,variety,3,3.0,amazon
arastories,amazon/nova-micro-v1,moroccan_418,variety,3,3.0,amazon
arastories,amazon/nova-micro-v1,moroccan_534,variety,3,2.0,amazon
arastories,amazon/nova-micro-v1,moroccan_762,variety,3,3.0,amazon
arastories,amazon/nova-micro-v1,moroccan_816,variety,2,3.0,amazon
arastories,amazon/nova-micro-v1,moroccan_980,variety,2,3.0,amazon
arastories,amazon/nova-micro-v1,msa_817,variety,3,3.0,amazon
arastories,amazon/nova-micro-v1,msa_910,variety,4,3.0,amazon
arastories,amazon/nova-pro-v1,egyptian_304,variety,4,3.0,amazon
arastories,amazon/nova-pro-v1,egyptian_762,variety,3,3.0,amazon
arastories,amazon/nova-pro-v1,egyptian_952,variety,3,3.0,amazon
arastories,amazon/nova-pro-v1,moroccan_120,variety,3,3.0,amazon
arastories,amazon/nova-pro-v1,moroccan_642,variety,3,3.0,amazon
arastories,amazon/nova-pro-v1,moroccan_666,variety,3,3.0,amazon
arastories,amazon/nova-pro-v1,msa_104,variety,3,3.0,amazon
arastories,amazon/nova-pro-v1,msa_654,variety,3,3.0,amazon
arastories,amazon/nova-pro-v1,msa_686,variety,3,4.0,amazon
arastories,amazon/nova-pro-v1,msa_817,variety,4,4.0,amazon
arastories,amazon/nova-pro-v1,msa_910,variety,3,3.0,amazon
arastories,anthropic/claude-3.7-sonnet,egyptian_762,variety,3,3.0,anthropic
arastories,anthropic/claude-3.7-sonnet,egyptian_765,variety,3,3.0,anthropic
arastories,anthropic/claude-3.7-sonnet,moroccan_120,variety,4,4.0,anthropic
arastories,anthropic/claude-3.7-sonnet,moroccan_415,variety,4,3.0,anthropic
arastories,anthropic/claude-3.7-sonnet,moroccan_534,variety,4,3.0,anthropic
arastories,anthropic/claude-3.7-sonnet,moroccan_666,variety,4,4.0,anthropic
arastories,anthropic/claude-3.7-sonnet,moroccan_980,variety,4,4.0,anthropic
arastories,anthropic/claude-3.7-sonnet,msa_156,variety,4,4.0,anthropic
arastories,anthropic/claude-3.7-sonnet,msa_263,variety,5,4.0,anthropic
arastories,anthropic/claude-3.7-sonnet,msa_514,variety,4,4.0,anthropic
arastories,anthropic/claude-3.7-sonnet,msa_615,variety,4,4.0,anthropic
arastories,anthropic/claude-3.7-sonnet,msa_779,variety,5,4.0,anthropic
arastories,anthropic/claude-3.7-sonnet,msa_944,variety,4,4.0,anthropic
arastories,anthropic/claude-haiku-4.5,egyptian_765,variety,3,3.0,anthropic
arastories,anthropic/claude-haiku-4.5,egyptian_88,variety,3,3.0,anthropic
arastories,anthropic/claude-haiku-4.5,moroccan_418,variety,3,4.0,anthropic
arastories,anthropic/claude-haiku-4.5,moroccan_759,variety,4,4.0,anthropic
arastories,anthropic/claude-haiku-4.5,moroccan_950,variety,3,4.0,anthropic
arastories,anthropic/claude-haiku-4.5,moroccan_980,variety,4,3.0,anthropic
arastories,anthropic/claude-haiku-4.5,msa_104,variety,3,4.0,anthropic
arastories,anthropic/claude-haiku-4.5,msa_514,variety,4,4.0,anthropic
arastories,anthropic/claude-haiku-4.5,msa_601,variety,3,4.0,anthropic
arastories,anthropic/claude-haiku-4.5,msa_615,variety,3,4.0,anthropic
arastories,anthropic/claude-haiku-4.5,msa_812,variety,5,4.0,anthropic
arastories,anthropic/claude-haiku-4.5,msa_910,variety,5,4.0,anthropic
arastories,anthropic/claude-haiku-4.5,msa_913,variety,4,4.0,anthropic
arastories,anthropic/claude-opus-4.6,egyptian_361,variety,4,3.0,anthropic
arastories,anthropic/claude-opus-4.6,egyptian_53,variety,3,3.0,anthropic
arastories,anthropic/claude-opus-4.6,egyptian_769,variety,5,4.0,anthropic
arastories,anthropic/claude-opus-4.6,moroccan_534,variety,5,4.0,anthropic
arastories,anthropic/claude-opus-4.6,moroccan_666,variety,5,4.0,anthropic
arastories,anthropic/claude-opus-4.6,moroccan_950,variety,4,4.0,anthropic
arastories,anthropic/claude-opus-4.6,msa_104,variety,3,3.0,anthropic
arastories,anthropic/claude-opus-4.6,msa_156,variety,4,4.0,anthropic
arastories,anthropic/claude-opus-4.6,msa_263,variety,4,4.0,anthropic
arastories,anthropic/claude-opus-4.6,msa_514,variety,4,4.0,anthropic
arastories,anthropic/claude-opus-4.6,msa_601,variety,4,4.0,anthropic
arastories,anthropic/claude-opus-4.6,msa_615,variety,5,4.0,anthropic
arastories,anthropic/claude-opus-4.6,msa_906,variety,4,4.0,anthropic
arastories,anthropic/claude-opus-4.6-fast,egyptian_304,variety,3,4.0,anthropic
arastories,anthropic/claude-opus-4.6-fast,egyptian_53,variety,3,4.0,anthropic
arastories,anthropic/claude-opus-4.6-fast,moroccan_301,variety,4,4.0,anthropic
arastories,anthropic/claude-opus-4.6-fast,moroccan_534,variety,4,4.0,anthropic
arastories,anthropic/claude-opus-4.6-fast,msa_480,variety,5,4.0,anthropic
arastories,anthropic/claude-opus-4.6-fast,msa_906,variety,5,4.0,anthropic
arastories,anthropic/claude-opus-4.6-fast,msa_910,variety,5,4.0,anthropic
arastories,anthropic/claude-opus-4.7,moroccan_642,variety,4,4.0,anthropic
arastories,anthropic/claude-opus-4.7,msa_30,variety,4,4.0,anthropic
arastories,anthropic/claude-opus-4.7,msa_514,variety,4,4.0,anthropic
arastories,anthropic/claude-opus-4.7,msa_567,variety,4,4.0,anthropic
arastories,anthropic/claude-opus-4.7,msa_910,variety,4,4.0,anthropic
arastories,anthropic/claude-opus-4.7,msa_913,variety,4,4.0,anthropic
arastories,anthropic/claude-sonnet-4,egyptian_966,variety,3,3.0,anthropic
arastories,anthropic/claude-sonnet-4,moroccan_120,variety,4,4.0,anthropic
arastories,anthropic/claude-sonnet-4,moroccan_128,variety,4,4.0,anthropic
arastories,anthropic/claude-sonnet-4,moroccan_275,variety,4,4.0,anthropic
arastories,anthropic/claude-sonnet-4,moroccan_301,variety,4,4.0,anthropic
arastories,anthropic/claude-sonnet-4,moroccan_666,variety,4,4.0,anthropic
arastories,anthropic/claude-sonnet-4,moroccan_759,variety,3,4.0,anthropic
arastories,anthropic/claude-sonnet-4,moroccan_762,variety,4,4.0,anthropic
arastories,anthropic/claude-sonnet-4,moroccan_816,variety,4,4.0,anthropic
arastories,anthropic/claude-sonnet-4,moroccan_980,variety,5,4.0,anthropic
arastories,anthropic/claude-sonnet-4,msa_305,variety,4,4.0,anthropic
arastories,anthropic/claude-sonnet-4,msa_567,variety,4,4.0,anthropic
arastories,anthropic/claude-sonnet-4,msa_601,variety,4,4.0,anthropic
arastories,anthropic/claude-sonnet-4,msa_944,variety,5,4.0,anthropic
arastories,anthropic/claude-sonnet-4.5,egyptian_235,variety,3,3.0,anthropic
arastories,anthropic/claude-sonnet-4.5,egyptian_88,variety,3,3.0,anthropic
arastories,anthropic/claude-sonnet-4.5,moroccan_415,variety,3,4.0,anthropic
arastories,anthropic/claude-sonnet-4.5,moroccan_418,variety,5,4.0,anthropic
arastories,anthropic/claude-sonnet-4.5,moroccan_816,variety,4,4.0,anthropic
arastories,anthropic/claude-sonnet-4.5,msa_812,variety,4,4.0,anthropic
arastories,anthropic/claude-sonnet-4.5,msa_906,variety,3,4.0,anthropic
arastories,anthropic/claude-sonnet-4.6,egyptian_47,variety,3,3.0,anthropic
arastories,anthropic/claude-sonnet-4.6,egyptian_762,variety,2,3.0,anthropic
arastories,anthropic/claude-sonnet-4.6,egyptian_966,variety,3,3.0,anthropic
arastories,anthropic/claude-sonnet-4.6,moroccan_128,variety,4,4.0,anthropic
arastories,anthropic/claude-sonnet-4.6,moroccan_759,variety,4,4.0,anthropic
arastories,anthropic/claude-sonnet-4.6,msa_104,variety,3,3.0,anthropic
arastories,anthropic/claude-sonnet-4.6,msa_22,variety,4,4.0,anthropic
arastories,anthropic/claude-sonnet-4.6,msa_305,variety,4,4.0,anthropic
arastories,anthropic/claude-sonnet-4.6,msa_567,variety,3,4.0,anthropic
arastories,anthropic/claude-sonnet-4.6,msa_601,variety,4,4.0,anthropic
arastories,anthropic/claude-sonnet-4.6,msa_686,variety,4,4.0,anthropic
arastories,arcee-ai/trinity-large-preview,egyptian_13,variety,3,3.0,arcee-ai
arastories,arcee-ai/trinity-large-preview,egyptian_27,variety,3,3.0,arcee-ai
arastories,arcee-ai/trinity-large-preview,moroccan_216,variety,2,2.0,arcee-ai
arastories,arcee-ai/trinity-large-preview,moroccan_418,variety,2,3.0,arcee-ai
arastories,arcee-ai/trinity-large-preview,moroccan_642,variety,2,3.0,arcee-ai
arastories,arcee-ai/trinity-large-preview,moroccan_762,variety,3,3.0,arcee-ai
arastories,arcee-ai/trinity-large-preview,msa_480,variety,3,4.0,arcee-ai
arastories,arcee-ai/trinity-large-preview,msa_514,variety,5,4.0,arcee-ai
arastories,arcee-ai/trinity-large-preview,msa_654,variety,3,4.0,arcee-ai
arastories,arcee-ai/trinity-large-preview,msa_817,variety,4,4.0,arcee-ai
arastories,arcee-ai/trinity-large-preview,msa_906,variety,3,4.0,arcee-ai
arastories,baidu/ernie-4.5-300b-a47b,egyptian_13,variety,4,4.0,baidu
arastories,baidu/ernie-4.5-300b-a47b,egyptian_88,variety,3,3.0,baidu
arastories,baidu/ernie-4.5-300b-a47b,egyptian_966,variety,3,3.0,baidu
arastories,baidu/ernie-4.5-300b-a47b,moroccan_120,variety,4,4.0,baidu
arastories,baidu/ernie-4.5-300b-a47b,moroccan_415,variety,3,3.0,baidu
arastories,baidu/ernie-4.5-300b-a47b,moroccan_534,variety,3,3.0,baidu
arastories,baidu/ernie-4.5-300b-a47b,msa_480,variety,3,4.0,baidu
arastories,baidu/ernie-4.5-300b-a47b,msa_686,variety,5,4.0,baidu
arastories,baidu/ernie-4.5-300b-a47b,msa_906,variety,5,4.0,baidu
arastories,baidu/ernie-4.5-300b-a47b,msa_944,variety,4,4.0,baidu
arastories,baidu/ernie-4.5-vl-424b-a47b,egyptian_13,variety,4,4.0,baidu
arastories,baidu/ernie-4.5-vl-424b-a47b,egyptian_235,variety,2,3.0,baidu
arastories,baidu/ernie-4.5-vl-424b-a47b,egyptian_361,variety,3,4.0,baidu
arastories,baidu/ernie-4.5-vl-424b-a47b,egyptian_966,variety,3,3.0,baidu
arastories,baidu/ernie-4.5-vl-424b-a47b,moroccan_415,variety,3,3.0,baidu
arastories,baidu/ernie-4.5-vl-424b-a47b,moroccan_950,variety,3,4.0,baidu
arastories,baidu/ernie-4.5-vl-424b-a47b,msa_480,variety,5,4.0,baidu
arastories,baidu/ernie-4.5-vl-424b-a47b,msa_567,variety,4,4.0,baidu
arastories,baidu/ernie-4.5-vl-424b-a47b,msa_615,variety,3,3.0,baidu
arastories,baidu/ernie-4.5-vl-424b-a47b,msa_654,variety,4,4.0,baidu
arastories,deepseek/deepseek-chat,egyptian_304,variety,3,3.0,deepseek
arastories,deepseek/deepseek-chat,egyptian_361,variety,4,3.0,deepseek
arastories,deepseek/deepseek-chat,egyptian_765,variety,3,2.0,deepseek
arastories,deepseek/deepseek-chat,egyptian_769,variety,4,3.0,deepseek
arastories,deepseek/deepseek-chat,moroccan_120,variety,4,4.0,deepseek
arastories,deepseek/deepseek-chat,moroccan_275,variety,4,4.0,deepseek
arastories,deepseek/deepseek-chat,moroccan_418,variety,4,4.0,deepseek
arastories,deepseek/deepseek-chat,moroccan_534,variety,3,4.0,deepseek
arastories,deepseek/deepseek-chat,moroccan_759,variety,3,4.0,deepseek
arastories,deepseek/deepseek-chat,moroccan_950,variety,3,4.0,deepseek
arastories,deepseek/deepseek-chat,msa_104,variety,4,3.0,deepseek
arastories,deepseek/deepseek-chat,msa_22,variety,4,4.0,deepseek
arastories,deepseek/deepseek-chat,msa_30,variety,4,4.0,deepseek
arastories,deepseek/deepseek-chat,msa_480,variety,3,4.0,deepseek
arastories,deepseek/deepseek-chat,msa_654,variety,4,4.0,deepseek
arastories,deepseek/deepseek-chat,msa_779,variety,5,4.0,deepseek
arastories,deepseek/deepseek-chat,msa_812,variety,4,4.0,deepseek
arastories,deepseek/deepseek-chat,msa_910,variety,4,4.0,deepseek
arastories,deepseek/deepseek-chat-v3-0324,egyptian_765,variety,3,3.0,deepseek
arastories,deepseek/deepseek-chat-v3-0324,egyptian_787,variety,4,4.0,deepseek
arastories,deepseek/deepseek-chat-v3-0324,egyptian_88,variety,3,3.0,deepseek
arastories,deepseek/deepseek-chat-v3-0324,moroccan_128,variety,3,4.0,deepseek
arastories,deepseek/deepseek-chat-v3-0324,moroccan_666,variety,3,3.0,deepseek
arastories,deepseek/deepseek-chat-v3-0324,moroccan_980,variety,4,4.0,deepseek
arastories,deepseek/deepseek-chat-v3-0324,msa_305,variety,5,4.0,deepseek
arastories,deepseek/deepseek-chat-v3-0324,msa_615,variety,4,4.0,deepseek
arastories,deepseek/deepseek-chat-v3-0324,msa_910,variety,4,4.0,deepseek
arastories,deepseek/deepseek-chat-v3-0324,msa_913,variety,4,4.0,deepseek
arastories,deepseek/deepseek-v3.1-terminus,egyptian_13,variety,4,4.0,deepseek
arastories,deepseek/deepseek-v3.1-terminus,egyptian_304,variety,4,3.0,deepseek
arastories,deepseek/deepseek-v3.1-terminus,egyptian_765,variety,3,3.0,deepseek
arastories,deepseek/deepseek-v3.1-terminus,egyptian_787,variety,4,4.0,deepseek
arastories,deepseek/deepseek-v3.1-terminus,moroccan_128,variety,4,4.0,deepseek
arastories,deepseek/deepseek-v3.1-terminus,moroccan_415,variety,4,4.0,deepseek
arastories,deepseek/deepseek-v3.1-terminus,moroccan_534,variety,4,4.0,deepseek
arastories,deepseek/deepseek-v3.1-terminus,moroccan_980,variety,4,4.0,deepseek
arastories,deepseek/deepseek-v3.1-terminus,msa_30,variety,5,4.0,deepseek
arastories,deepseek/deepseek-v3.1-terminus,msa_567,variety,5,4.0,deepseek
arastories,deepseek/deepseek-v3.1-terminus,msa_654,variety,2,4.0,deepseek
arastories,deepseek/deepseek-v3.1-terminus,msa_779,variety,4,4.0,deepseek
arastories,deepseek/deepseek-v3.1-terminus,msa_812,variety,5,4.0,deepseek
arastories,deepseek/deepseek-v3.2,egyptian_53,variety,3,3.0,deepseek
arastories,deepseek/deepseek-v3.2,egyptian_88,variety,3,4.0,deepseek
arastories,deepseek/deepseek-v3.2,egyptian_911,variety,4,3.0,deepseek
arastories,deepseek/deepseek-v3.2,moroccan_666,variety,4,4.0,deepseek
arastories,deepseek/deepseek-v3.2,msa_263,variety,4,4.0,deepseek
arastories,deepseek/deepseek-v3.2,msa_601,variety,4,4.0,deepseek
arastories,deepseek/deepseek-v3.2-exp,egyptian_304,variety,4,4.0,deepseek
arastories,deepseek/deepseek-v3.2-exp,egyptian_53,variety,3,3.0,deepseek
arastories,deepseek/deepseek-v3.2-exp,egyptian_762,variety,2,3.0,deepseek
arastories,deepseek/deepseek-v3.2-exp,egyptian_88,variety,2,3.0,deepseek
arastories,deepseek/deepseek-v3.2-exp,moroccan_275,variety,4,4.0,deepseek
arastories,deepseek/deepseek-v3.2-exp,moroccan_762,variety,4,4.0,deepseek
arastories,deepseek/deepseek-v3.2-exp,moroccan_980,variety,3,4.0,deepseek
arastories,deepseek/deepseek-v3.2-exp,msa_104,variety,4,4.0,deepseek
arastories,google/gemini-2.5-flash,egyptian_235,variety,3,3.0,google
arastories,google/gemini-2.5-flash,egyptian_304,variety,4,4.0,google
arastories,google/gemini-2.5-flash,egyptian_787,variety,4,4.0,google
arastories,google/gemini-2.5-flash,moroccan_418,variety,5,4.0,google
arastories,google/gemini-2.5-flash,moroccan_534,variety,4,4.0,google
arastories,google/gemini-2.5-flash,moroccan_642,variety,4,4.0,google
arastories,google/gemini-2.5-flash,moroccan_762,variety,5,4.0,google
arastories,google/gemini-2.5-flash,moroccan_980,variety,5,4.0,google
arastories,google/gemini-2.5-flash,msa_615,variety,4,4.0,google
arastories,google/gemini-2.5-flash,msa_913,variety,3,4.0,google
arastories,google/gemini-2.5-flash,msa_944,variety,4,4.0,google
arastories,google/gemma-2-27b-it,moroccan_301,variety,3,3.0,google
arastories,google/gemma-2-27b-it,moroccan_642,variety,3,3.0,google
arastories,google/gemma-2-27b-it,moroccan_816,variety,4,3.0,google
arastories,google/gemma-2-27b-it,msa_22,variety,4,4.0,google
arastories,google/gemma-2-27b-it,msa_305,variety,3,3.0,google
arastories,google/gemma-2-27b-it,msa_567,variety,3,4.0,google
arastories,google/gemma-2-27b-it,msa_779,variety,4,4.0,google
arastories,google/gemma-3-12b-it,egyptian_235,variety,3,3.0,google
arastories,google/gemma-3-12b-it,egyptian_88,variety,5,4.0,google
arastories,google/gemma-3-12b-it,moroccan_415,variety,3,3.0,google
arastories,google/gemma-3-12b-it,moroccan_642,variety,4,3.0,google
arastories,google/gemma-3-12b-it,moroccan_762,variety,3,4.0,google
arastories,google/gemma-3-12b-it,msa_906,variety,3,4.0,google
arastories,google/gemma-3-12b-it,msa_910,variety,4,4.0,google
arastories,google/gemma-3-27b-it,egyptian_769,variety,5,4.0,google
arastories,google/gemma-3-27b-it,moroccan_642,variety,4,4.0,google
arastories,google/gemma-3-27b-it,msa_263,variety,4,4.0,google
arastories,google/gemma-3-27b-it,msa_686,variety,5,4.0,google
arastories,google/gemma-3-27b-it,msa_913,variety,4,4.0,google
arastories,google/gemma-3-4b-it,egyptian_13,variety,3,3.0,google
arastories,google/gemma-3-4b-it,egyptian_361,variety,3,3.0,google
arastories,google/gemma-3-4b-it,egyptian_765,variety,3,3.0,google
arastories,google/gemma-3-4b-it,egyptian_911,variety,4,3.0,google
arastories,google/gemma-3-4b-it,egyptian_966,variety,4,3.0,google
arastories,google/gemma-3-4b-it,moroccan_120,variety,3,3.0,google
arastories,google/gemma-3-4b-it,moroccan_128,variety,2,3.0,google
arastories,google/gemma-3-4b-it,moroccan_301,variety,3,3.0,google
arastories,google/gemma-3-4b-it,moroccan_642,variety,2,2.0,google
arastories,google/gemma-3-4b-it,moroccan_759,variety,2,3.0,google
arastories,google/gemma-3-4b-it,moroccan_980,variety,3,3.0,google
arastories,google/gemma-3-4b-it,msa_104,variety,4,4.0,google
arastories,google/gemma-3-4b-it,msa_156,variety,4,4.0,google
arastories,google/gemma-3-4b-it,msa_22,variety,3,3.0,google
arastories,google/gemma-3-4b-it,msa_305,variety,5,4.0,google
arastories,google/gemma-3-4b-it,msa_514,variety,3,4.0,google
arastories,google/gemma-3-4b-it,msa_567,variety,3,4.0,google
arastories,google/gemma-3-4b-it,msa_654,variety,3,3.0,google
arastories,google/gemma-3-4b-it,msa_812,variety,5,4.0,google
arastories,google/gemma-4-26b-a4b-it,egyptian_13,variety,5,4.0,google
arastories,google/gemma-4-26b-a4b-it,egyptian_47,variety,3,4.0,google
arastories,google/gemma-4-26b-a4b-it,egyptian_762,variety,2,3.0,google
arastories,google/gemma-4-26b-a4b-it,egyptian_765,variety,4,3.0,google
arastories,google/gemma-4-26b-a4b-it,moroccan_275,variety,4,4.0,google
arastories,google/gemma-4-26b-a4b-it,moroccan_642,variety,4,4.0,google
arastories,google/gemma-4-26b-a4b-it,msa_601,variety,4,4.0,google
arastories,google/gemma-4-26b-a4b-it,msa_686,variety,4,4.0,google
arastories,google/gemma-4-26b-a4b-it,msa_944,variety,5,4.0,google
arastories,google/gemma-4-31b-it,egyptian_47,variety,3,3.0,google
arastories,google/gemma-4-31b-it,moroccan_642,variety,4,4.0,google
arastories,google/gemma-4-31b-it,moroccan_666,variety,4,4.0,google
arastories,google/gemma-4-31b-it,moroccan_980,variety,5,4.0,google
arastories,google/gemma-4-31b-it,msa_906,variety,4,4.0,google
arastories,meta-llama/llama-3-8b-instruct,egyptian_952,variety,2,2.0,meta-llama
arastories,meta-llama/llama-3-8b-instruct,moroccan_534,variety,2,2.0,meta-llama
arastories,meta-llama/llama-3-8b-instruct,moroccan_642,variety,2,2.0,meta-llama
arastories,meta-llama/llama-3-8b-instruct,moroccan_980,variety,2,2.0,meta-llama
arastories,meta-llama/llama-3-8b-instruct,msa_156,variety,2,2.0,meta-llama
arastories,meta-llama/llama-3-8b-instruct,msa_480,variety,3,2.0,meta-llama
arastories,meta-llama/llama-3-8b-instruct,msa_514,variety,2,2.0,meta-llama
arastories,meta-llama/llama-3-8b-instruct,msa_601,variety,2,2.0,meta-llama
arastories,meta-llama/llama-3-8b-instruct,msa_654,variety,2,2.0,meta-llama
arastories,meta-llama/llama-3-8b-instruct,msa_686,variety,2,2.0,meta-llama
arastories,meta-llama/llama-3-8b-instruct,msa_944,variety,2,2.0,meta-llama
arastories,meta-llama/llama-3.1-70b-instruct,egyptian_13,variety,4,3.0,meta-llama
arastories,meta-llama/llama-3.1-70b-instruct,egyptian_53,variety,3,2.0,meta-llama
arastories,meta-llama/llama-3.1-70b-instruct,egyptian_769,variety,3,3.0,meta-llama
arastories,meta-llama/llama-3.1-70b-instruct,egyptian_787,variety,3,3.0,meta-llama
arastories,meta-llama/llama-3.1-70b-instruct,egyptian_952,variety,3,3.0,meta-llama
arastories,meta-llama/llama-3.1-70b-instruct,egyptian_966,variety,2,2.0,meta-llama
arastories,meta-llama/llama-3.1-70b-instruct,moroccan_980,variety,3,2.0,meta-llama
arastories,meta-llama/llama-3.1-70b-instruct,msa_305,variety,2,3.0,meta-llama
arastories,meta-llama/llama-3.1-70b-instruct,msa_913,variety,4,3.0,meta-llama
arastories,meta-llama/llama-3.1-8b-instruct,egyptian_47,variety,3,2.0,meta-llama
arastories,meta-llama/llama-3.1-8b-instruct,moroccan_128,variety,3,2.0,meta-llama
arastories,meta-llama/llama-3.1-8b-instruct,moroccan_415,variety,2,2.0,meta-llama
arastories,meta-llama/llama-3.1-8b-instruct,moroccan_534,variety,2,2.0,meta-llama
arastories,meta-llama/llama-3.1-8b-instruct,moroccan_666,variety,1,2.0,meta-llama
arastories,meta-llama/llama-3.1-8b-instruct,moroccan_980,variety,2,2.0,meta-llama
arastories,meta-llama/llama-3.1-8b-instruct,msa_567,variety,2,2.0,meta-llama
arastories,meta-llama/llama-3.1-8b-instruct,msa_817,variety,2,3.0,meta-llama
arastories,meta-llama/llama-3.1-8b-instruct,msa_913,variety,2,2.0,meta-llama
arastories,meta-llama/llama-3.2-3b-instruct,egyptian_13,variety,2,2.0,meta-llama
arastories,meta-llama/llama-3.2-3b-instruct,egyptian_966,variety,1,2.0,meta-llama
arastories,meta-llama/llama-3.2-3b-instruct,moroccan_128,variety,2,2.0,meta-llama
arastories,meta-llama/llama-3.2-3b-instruct,moroccan_666,variety,1,2.0,meta-llama
arastories,meta-llama/llama-3.2-3b-instruct,moroccan_762,variety,2,2.0,meta-llama
arastories,meta-llama/llama-3.2-3b-instruct,moroccan_816,variety,1,2.0,meta-llama
arastories,meta-llama/llama-3.2-3b-instruct,moroccan_950,variety,2,2.0,meta-llama
arastories,meta-llama/llama-3.2-3b-instruct,msa_156,variety,3,2.0,meta-llama
arastories,meta-llama/llama-3.2-3b-instruct,msa_263,variety,1,2.0,meta-llama
arastories,meta-llama/llama-3.2-3b-instruct,msa_480,variety,3,3.0,meta-llama
arastories,meta-llama/llama-3.2-3b-instruct,msa_615,variety,3,2.0,meta-llama
arastories,meta-llama/llama-3.3-70b-instruct,egyptian_361,variety,3,3.0,meta-llama
arastories,meta-llama/llama-3.3-70b-instruct,egyptian_762,variety,2,3.0,meta-llama
arastories,meta-llama/llama-3.3-70b-instruct,egyptian_787,variety,4,4.0,meta-llama
