model,n_items,accuracy_strict,accuracy_parsed,mean_lev_to_D,n_errors,lsa_acc,model_underscore
mistralai/mistral-medium-3.1,500,0.366,0.366,2.264,0,0.366,mistralai_mistral-medium-3.1
mistralai/mistral-nemo,500,0.132,0.132,4.308,0,0.132,mistralai_mistral-nemo
mistralai/mistral-small-3.1-24b-instruct,500,0.318,0.318,2.938,0,0.318,mistralai_mistral-small-3.1-24b-instruct
mistralai/mixtral-8x22b-instruct,500,0.31,0.31,2.524,0,0.31,mistralai_mixtral-8x22b-instruct
mistralai/pixtral-large-2411,500,0.232,0.232,3.006,0,0.232,mistralai_pixtral-large-2411
moonshotai/kimi-k2-0905,500,0.418,0.418,2.638,0,0.418,moonshotai_kimi-k2-0905
moonshotai/kimi-k2.5,500,0.238,0.238,8.716,0,0.238,moonshotai_kimi-k2.5
moonshotai/kimi-k2.6,500,0.086,0.086,11.066,0,0.086,moonshotai_kimi-k2.6
nex-agi/deepseek-v3.1-nex-n1,500,0.388,0.388,2.382,0,0.388,nex-agi_deepseek-v3.1-nex-n1
nousresearch/hermes-3-llama-3.1-405b,500,0.378,0.378,2.128,0,0.378,nousresearch_hermes-3-llama-3.1-405b
nousresearch/hermes-3-llama-3.1-70b,500,0.318,0.318,9.46,0,0.318,nousresearch_hermes-3-llama-3.1-70b
nousresearch/hermes-4-405b,500,0.388,0.388,1.846,0,0.388,nousresearch_hermes-4-405b
nousresearch/hermes-4-70b,500,0.342,0.342,2.616,0,0.342,nousresearch_hermes-4-70b
nvidia/nemotron-3-nano-30b-a3b,500,0.044,0.044,601.106,0,0.044,nvidia_nemotron-3-nano-30b-a3b
nvidia/nemotron-3-super-120b-a12b,500,0.102,0.102,111.364,0,0.102,nvidia_nemotron-3-super-120b-a12b
nvidia/nemotron-nano-12b-v2-vl,500,0.008,0.008,12.236,0,0.008,nvidia_nemotron-nano-12b-v2-vl
nvidia/nemotron-nano-9b-v2,500,0.05,0.05,11.698,0,0.05,nvidia_nemotron-nano-9b-v2
openai/gpt-4.1,500,0.368,0.368,2.782,0,0.368,openai_gpt-4.1
openai/gpt-4.1-mini,500,0.328,0.328,3.53,0,0.328,openai_gpt-4.1-mini
openai/gpt-4o,500,0.356,0.356,3.14,0,0.356,openai_gpt-4o
openai/gpt-4o-mini,500,0.214,0.214,8.018,0,0.214,openai_gpt-4o-mini
openai/gpt-5.1,500,0.314,0.314,2.406,0,0.314,openai_gpt-5.1
openai/gpt-5.4,500,0.452,0.452,1.93,0,0.452,openai_gpt-5.4
openai/gpt-5.4-mini,500,0.338,0.338,2.894,0,0.338,openai_gpt-5.4-mini
openai/gpt-5.4-nano,500,0.062,0.062,7.046,0,0.062,openai_gpt-5.4-nano
openai/gpt-5.5,500,0.646,0.646,4.022,0,0.646,openai_gpt-5.5
qwen/qwen-turbo,500,0.232,0.234,5.272,0,0.234,qwen_qwen-turbo
qwen/qwen3-14b,500,0.096,0.096,11.004,0,0.096,qwen_qwen3-14b
qwen/qwen3-next-80b-a3b-instruct,500,0.354,0.358,5.432,0,0.358,qwen_qwen3-next-80b-a3b-instruct
qwen/qwen3.5-flash-02-23,500,0.772,0.774,0.838,0,0.774,qwen_qwen3.5-flash-02-23
tencent/hunyuan-a13b-instruct,500,0.152,0.152,4.148,0,0.152,tencent_hunyuan-a13b-instruct
z-ai/glm-4.5v,500,0.13,0.13,10.336,0,0.13,z-ai_glm-4.5v
z-ai/glm-4.6,500,0.222,0.222,7.472,0,0.222,z-ai_glm-4.6
z-ai/glm-4.7,500,0.046,0.046,11.75,0,0.046,z-ai_glm-4.7
z-ai/glm-5,500,0.202,0.206,9.15,0,0.206,z-ai_glm-5
z-ai/glm-5-turbo,500,0.344,0.344,7.696,0,0.344,z-ai_glm-5-turbo
z-ai/glm-5.1,500,0.31,0.31,7.866,0,0.31,z-ai_glm-5.1
