model,datasets,n_metric_obs,mean_z,median_z,n_jrt_cells,rank,release_model
anthropic/claude-3.7-sonnet,67,67,0.2975733892407145,0.349283467418284,24,32,yes
mistralai/mistral-large-2512,67,67,0.26712434339862007,0.4446712815224638,24,33,yes
openai/gpt-4o,67,67,0.2589901086160371,0.2699833370895456,24,34,yes
z-ai/glm-4.6,66,66,0.2536554150842134,0.40598645356377505,24,35,yes
anthropic/claude-haiku-4.5,67,67,0.23207087365249493,0.3716927477653635,24,36,yes
nvidia/nemotron-3-super-120b-a12b,66,66,0.23058359436823003,0.28998122758273676,24,37,yes
openai/gpt-4.1-mini,66,66,0.21849762631621614,0.24701006708356485,24,38,yes
nousresearch/hermes-4-405b,66,66,0.15228042736276065,0.17123321645413153,24,39,yes
deepcogito/cogito-v2.1-671b,65,66,0.14482326049350736,0.2599828720552414,24,40,yes
mistralai/mixtral-8x22b-instruct,66,66,0.12589626371289842,0.23036940101928294,24,41,yes
baidu/ernie-4.5-vl-424b-a47b,67,67,0.11850763470821278,0.0565724581053209,24,42,yes
openai/gpt-5.4-nano,66,66,0.11343743708680616,0.14934119644963667,24,43,yes
deepseek/deepseek-chat-v3-0324,66,66,0.08176113445682526,0.205275137529062,24,44,yes
openai/gpt-4o-mini,67,67,0.041510367431692424,0.0761216863336674,24,45,yes
allenai/olmo-3.1-32b-instruct,66,66,0.03664007783143361,0.0990191703083321,24,46,yes
google/gemma-3-12b-it,67,67,-0.016690896449032405,0.0159550437565989,24,47,yes
ai21/jamba-large-1.7,66,66,-0.046487203483222994,-0.0969661251938493,24,48,yes
deepseek/deepseek-chat,66,66,-0.05373654303126622,0.0882272492605862,24,49,yes
google/gemma-3-27b-it,67,67,-0.07553325025732384,0.0332222128849673,24,50,yes
nousresearch/hermes-4-70b,66,66,-0.08041058986189309,-0.1531298289679534,24,51,yes
nousresearch/hermes-3-llama-3.1-405b,66,66,-0.1186092001130121,-0.18523371316417792,24,52,yes
qwen/qwen-turbo,66,66,-0.14392634489738665,-0.0984647962964109,24,53,yes
mistralai/ministral-8b-2512,67,67,-0.15403480661534247,-0.2297101501884181,24,54,yes
meta-llama/llama-3.1-70b-instruct,66,66,-0.2146690191164701,-0.286784240056096,24,55,yes
mistralai/pixtral-large-2411,67,67,-0.24128973662927694,-0.1989519655573569,24,56,yes
nvidia/nemotron-nano-12b-v2-vl,67,67,-0.2591702253940353,-0.3275967974550777,24,57,yes
amazon/nova-lite-v1,67,67,-0.2777564639943655,-0.2472077646068487,24,58,yes
amazon/nova-2-lite-v1,67,67,-0.28423599923581777,-0.3253274561391725,24,59,yes
amazon/nova-pro-v1,67,67,-0.2863374935459662,-0.2412846740903574,24,60,yes
arcee-ai/trinity-large-preview,66,66,-0.2895436248815928,-0.1853635855292978,24,61,yes
google/gemma-3-4b-it,67,67,-0.29201883775226084,-0.2045585840840893,24,62,yes
meta-llama/llama-3.3-70b-instruct,66,66,-0.32934495616036846,-0.3399993709058148,24,63,yes
minimax/minimax-01,67,67,-0.33746453032110363,-0.2795472798956511,24,64,yes
meta-llama/llama-4-scout,67,67,-0.37145602679910605,-0.4125038214086408,24,65,yes
tencent/hunyuan-a13b-instruct,65,66,-0.385968477238753,-0.4208643296059454,24,66,yes
nvidia/nemotron-nano-9b-v2,66,66,-0.39656243775602273,-0.40145807306264036,24,67,yes
mistralai/mistral-nemo,66,66,-0.42074758428967945,-0.40254427686017635,24,68,yes
google/gemma-2-27b-it,54,66,-0.4832402932829347,-0.4934383525301763,24,69,yes
meta-llama/llama-4-maverick,67,67,-0.4874812761336904,-0.5292679675527749,24,70,yes
amazon/nova-micro-v1,66,66,-0.5249593544825012,-0.49895648522334185,24,71,yes
meta-llama/llama-3.2-11b-vision-instruct,66,67,-0.5741100683397901,-0.6295642376836015,24,72,yes
meta-llama/llama-3.1-8b-instruct,65,66,-0.6626096100710502,-0.7019797511792771,24,73,yes
meta-llama/llama-3-8b-instruct,66,66,-0.665075501825374,-0.7790370944438276,24,74,yes
ibm-granite/granite-4.0-h-micro,66,66,-0.7190772909628861,-0.9451135186781754,24,75,yes
nvidia/nemotron-3-nano-30b-a3b,66,66,-0.9659810066450919,-0.9036313329669382,24,76,yes
qwen/qwen3-14b,65,66,-0.996987509165901,-0.9613656675992014,24,77,yes
minimax/minimax-m2-her,66,66,-1.003257950337942,-1.1047167907500526,24,78,yes
z-ai/glm-4.5v,64,67,-1.0147986146943888,-0.716947334455525,24,79,yes
meta-llama/llama-3.2-3b-instruct,63,66,-1.0489392280791037,-1.2306272652391217,24,80,yes
mistralai/mistral-small-3.1-24b-instruct,67,67,-1.1696684438283798,-0.8402851234995011,24,81,yes
morph/morph-v3-fast,57,66,-1.4175979366826674,-1.8304176014825213,24,82,yes
nousresearch/hermes-3-llama-3.1-70b,66,66,-1.5651955656991097,-1.7139269256070855,24,83,yes
