model,dataset,canonical_metric,raw_score,dataset_z,release_mean,release_sd,release_n,cohort_source,domain,stats_json
anthropic/claude-haiku-4.5,eqbench_creative_writing_v3,creative_score_0_20,14.945454545454547,0.8674002233705789,11.641281253075542,3.8092834234461166,83,agc_long_metric_z,Story / Narrative,benchmark_output/runs/first_full_trial/eqbench_creative_writing_v3:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,fann_or_flop,overall_score,1.6,-0.5083297331934147,1.914939759036144,0.6195580121934603,83,agc_long_metric_z,,benchmark_output/runs/first_full_trial/fann_or_flop:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,fig_qa,exact_match,0.0,-0.5699324824834431,0.1855421686746988,0.3255511387352605,83,agc_long_metric_z,Figurative Language,benchmark_output/runs/first_full_trial/fig_qa:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,future_ideas,llm_judge_novelty,3.0,0.09693389312877515,1.900722891566265,11.34048239425773,83,agc_long_metric_z,STEM,benchmark_output/runs/first_full_trial/future_ideas:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,futuregen,rouge_l,0.021434013642832594,-1.6464778285400556,0.1049551486425376,0.0507271543849235,83,agc_long_metric_z,STEM,benchmark_output/runs/first_full_trial/futuregen:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,grapheval_ai_researcher,f1_macro,0.3888888888888889,0.5544951037055963,0.3140583646607743,0.1349525428232548,83,agc_long_metric_z,STEM,benchmark_output/runs/first_full_trial/grapheval_ai_researcher:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,grapheval_iclr,recall_macro,0.125,-1.57936469361544,0.2581576305220884,0.0843108821289828,83,agc_long_metric_z,STEM,benchmark_output/runs/first_full_trial/grapheval_iclr:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,grapheval_review_advisor,recall_macro,0.15,-1.6570622856498576,0.3149689400878367,0.0995550629064858,83,agc_long_metric_z,STEM,benchmark_output/runs/first_full_trial/grapheval_review_advisor:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,historical_analogy,historical_analogy_pass_at_1,0.0,-0.8826185489192799,0.1674698795180723,0.1897420802260845,83,agc_long_metric_z,Problem Solving,benchmark_output/runs/first_full_trial/historical_analogy:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,humor_transfer,accuracy,0.6,2.29499207031888,0.249578313253012,0.1526897156983633,83,agc_long_metric_z,Humor,benchmark_output/runs/first_full_trial/humor_transfer:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,hypobench,hypobench_ind_parsed_label_rate,0.07773333333333335,-6.1529452731561225,0.916051635111876,0.1362466696129952,83,agc_long_metric_z,STEM,benchmark_output/runs/first_full_trial/hypobench:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,hypogen,hypogen_proxy_novelty,2.6,0.12916305182703225,2.494457831325301,0.8171235286081264,83,agc_long_metric_z,STEM,benchmark_output/runs/first_full_trial/hypogen:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,irfl,exact_match,0.2,-1.3428472727946794,0.4848484848484848,0.2121227712334476,33,agc_long_metric_z,Figurative Language,benchmark_output/runs/first_full_trial/irfl:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,lcc_metaphor,quasi_exact_match,1.0,1.729978818707144,0.5240963855421686,0.2750921625812077,83,agc_long_metric_z,Figurative Language,benchmark_output/runs/first_full_trial/lcc_metaphor:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,liveideabench,liveideabench_originality,5.6,0.5998268204382449,4.736210218277661,1.4400652859957774,83,agc_long_metric_z,STEM,benchmark_output/runs/first_full_trial/liveideabench:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,meta4xnli,classification_micro_f1,1.0,1.218440126038181,0.754277108433735,0.2016700585569562,83,agc_long_metric_z,Problem Solving,benchmark_output/runs/first_full_trial/meta4xnli:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,metaphor_generation,f1_score,0.4277732793522267,-0.03328688117922648,0.4321048012907473,0.1301269985373035,83,agc_long_metric_z,Figurative Language,benchmark_output/runs/first_full_trial/metaphor_generation:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,metaphoric_analogies,f1_score,0.27279280804344225,-0.6361010992833696,0.384990932720787,0.1763841075007526,83,agc_long_metric_z,Figurative Language,benchmark_output/runs/first_full_trial/metaphoric_analogies:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,moh_x,exact_match,0.8,0.4367752006124456,0.6625903614457832,0.3146003673320766,83,agc_long_metric_z,Figurative Language,benchmark_output/runs/first_full_trial/moh_x:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,mops,mops_quality_score,53.2,-2.085635628467195,64.17052208835341,5.260037725964634,83,agc_long_metric_z,Story / Narrative,benchmark_output/runs/first_full_trial/mops:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,munch,exact_match,0.8,1.2950165853738123,0.4686746987951807,0.2558463767544574,83,agc_long_metric_z,Figurative Language,benchmark_output/runs/first_full_trial/munch:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,newyorker_humor,accuracy,0.5,-0.2986208036457453,0.5535976906421349,0.1794841149303115,83,agc_long_metric_z,Humor,benchmark_output/runs/first_full_trial/newyorker_humor:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,nyt_connections,full_wall,1.0,2.1333239546939864,0.5373493975903615,0.2168684232845467,83,agc_long_metric_z,Problem Solving,benchmark_output/runs/first_full_trial/nyt_connections:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,ocw,empty_group_slots,9.0,1.855075008278679,2.8389221220546523,3.321201488053144,83,agc_long_metric_z,Problem Solving,benchmark_output/runs/first_full_trial/ocw:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,ocw_connections,rouge_1,0.6897579908675798,0.4825512963639455,0.5830734952863529,0.2210842585754123,83,agc_long_metric_z,Problem Solving,benchmark_output/runs/first_full_trial/ocw_connections:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,outline_to_story,rouge_2,0.08947328515248239,0.2013912490951039,0.0865882777172251,0.0143253862728409,83,agc_long_metric_z,Story / Narrative,benchmark_output/runs/first_full_trial/outline_to_story:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,permpst,kendall_tau_correlation,0.2222222222222222,-0.06014205045891503,0.228932413065876,0.1115723656318924,83,agc_long_metric_z,Story / Narrative,benchmark_output/runs/first_full_trial/permpst:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,poetmt,llm_judge_beauty_of_form,3.4,-0.47298420221598453,3.751325301204819,0.7427844303442275,83,agc_long_metric_z,Story / Narrative,benchmark_output/runs/first_full_trial/poetmt:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,pollux_creativity,pollux_score,1.6,0.871853318162112,1.2537349397590365,0.3971597664741344,83,agc_long_metric_z,Brainstorming,benchmark_output/runs/first_full_trial/pollux_creativity:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,pron_vs_prompt,pron_vs_prompt_creativity,0.0,-4.120007063986047,1.8396385542168676,0.44651344661459,83,agc_long_metric_z,Story / Narrative,benchmark_output/runs/first_full_trial/pron_vs_prompt:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,proparalogy,classification_macro_f1,0.4444444444444444,-0.7732462842887392,0.6537790629973426,0.270721790464796,83,agc_long_metric_z,Problem Solving,benchmark_output/runs/first_full_trial/proparalogy:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,pun_eval,pun_detection_rate,0.4,-1.7642904622445104,0.7132530120481928,0.1775518367024871,83,agc_long_metric_z,Humor,benchmark_output/runs/first_full_trial/pun_eval:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,puntuguese,classification_macro_f1,0.4444444444444444,0.7552851277553807,0.3410575007399953,0.1368846544240889,83,agc_long_metric_z,Humor,benchmark_output/runs/first_full_trial/puntuguese:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,riddlesense,classification_macro_f1,0.2222222222222222,-1.6938216699458477,0.6279511248969986,0.2395346038333231,83,agc_long_metric_z,Problem Solving,benchmark_output/runs/first_full_trial/riddlesense:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,rpgbench,interestingness,3.0,-0.2826631519879362,3.322682926829268,1.1415811525481034,82,agc_long_metric_z,,benchmark_output/runs/first_full_trial/rpgbench:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,scar,scar_f1,0.9500000000000001,1.2874742227989828,0.7779003474781426,0.1336723092969667,83,agc_long_metric_z,Problem Solving,benchmark_output/runs/first_full_trial/scar:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,schnovel,classification_micro_f1,0.0,-1.7732813159917966,0.3978313253012048,0.2243475537205994,83,agc_long_metric_z,STEM,benchmark_output/runs/first_full_trial/schnovel:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,science_analogies,science_analogies_meteor,0.07551043878546852,0.15925681671719294,0.0699835219221204,0.0347044288418924,83,agc_long_metric_z,STEM,benchmark_output/runs/first_full_trial/science_analogies:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,scimon,bleu_4,1.153196691511049e-308,-1.2297455372835875,0.0031413410868768,0.0025544643112231,83,agc_long_metric_z,STEM,benchmark_output/runs/first_full_trial/scimon:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,sdat,sdat_score,107.18582392332594,0.15212503230589386,104.16945167085773,19.82824395660852,83,agc_long_metric_z,Brainstorming,benchmark_output/runs/first_full_trial/sdat:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,showerthoughts,llm_judge_cleverness,3.2,-0.1305593367419533,3.3373493975903616,1.052007470456353,83,agc_long_metric_z,Humor,benchmark_output/runs/first_full_trial/showerthoughts:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,simile_generation,simile_generation_bleu_1,53.38249352778719,10.832399528893461,11.068587980848422,3.9062356806609744,83,agc_long_metric_z,Figurative Language,benchmark_output/runs/first_full_trial/simile_generation:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,slang_generation,slang_parse_rate,1.0,0.3851370134959253,0.9301204819277108,0.1814406707835899,83,agc_long_metric_z,Figurative Language,benchmark_output/runs/first_full_trial/slang_generation:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,speak_to_structure,validity,1.0,1.2870466111526686,0.77710843373494,0.1731806481083386,83,agc_long_metric_z,STEM,benchmark_output/runs/first_full_trial/speak_to_structure:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,ss_gen,llm_judge_descriptiveness,3.0,-1.3358920673061103,3.753398208217485,0.5639663762183632,83,agc_long_metric_z,Story / Narrative,benchmark_output/runs/first_full_trial/ss_gen:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,story_generation_rocstories,rouge_l,0.06436684856225086,1.3241360031823892,0.0461457671454837,0.0137607325629506,83,agc_long_metric_z,Story / Narrative,benchmark_output/runs/first_full_trial/story_generation_rocstories:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,story_quality,pearson_correlation_pred,1.4,0.184113802373392,1.2322891566265062,0.9109085859482048,83,agc_long_metric_z,Story / Narrative,benchmark_output/runs/first_full_trial/story_quality:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,thenextchapter,meteor,0.13797232576779417,-0.2315101519581459,0.1435514583078332,0.0240988677725358,83,agc_long_metric_z,Story / Narrative,benchmark_output/runs/first_full_trial/thenextchapter:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,tinyfabulist,creativity_score,6.2,0.3048932830825322,5.822168674698795,1.2392248247690296,83,agc_long_metric_z,Story / Narrative,benchmark_output/runs/first_full_trial/tinyfabulist:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,tinystories,tinystories_creativity_score,5.4,-1.4459501050629722,6.965224534501645,1.0824886204724733,83,agc_long_metric_z,Story / Narrative,benchmark_output/runs/first_full_trial/tinystories:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,ttcw,majority_accuracy,0.6,1.0474966388414757,0.4091566265060241,0.1821899626380161,83,agc_long_metric_z,Story / Narrative,benchmark_output/runs/first_full_trial/ttcw:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,twistlist,bleu_1,0.1577507814720091,-0.3488816872835226,0.1880301882643194,0.0867899001179256,83,agc_long_metric_z,Figurative Language,benchmark_output/runs/first_full_trial/twistlist:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,unfun_corpus,edit_distance,4.8,-0.1484343154388417,5.601075634914874,5.396835849894399,83,agc_long_metric_z,Humor,benchmark_output/runs/first_full_trial/unfun_corpus:model=anthropic_claude-haiku-4.5/stats.json
anthropic/claude-haiku-4.5,writingbench,writingbench_score,6.38,0.07777259265984884,6.221244979919677,2.041272055499854,83,agc_long_metric_z,Story / Narrative,benchmark_output/runs/first_full_trial/writingbench:model=anthropic_claude-haiku-4.5/stats.json
