model,is_proprietary,params_total_B,params_active_B,architecture,mean_z,rank
nousresearch/hermes-4-405b,False,405.0,405.0,dense,0.1522804273627606,39
mistralai/mixtral-8x22b-instruct,False,22.0,22.0,dense,0.1258962637128984,40
baidu/ernie-4.5-vl-424b-a47b,True,424.0,47.0,MoE,0.1185076347082127,41
openai/gpt-5.4-nano,True,,,,0.1134374370868061,42
deepseek/deepseek-chat-v3-0324,False,671.0,37.0,MoE,0.0817611344568252,43
deepcogito/cogito-v2.1-671b,False,671.0,671.0,dense,0.072871456177531,44
openai/gpt-4o-mini,True,,,,0.0415103674316924,45
allenai/olmo-3.1-32b-instruct,False,32.0,32.0,dense,0.0366400778314336,46
google/gemma-3-12b-it,True,12.0,12.0,dense,-0.0166908964490324,47
ai21/jamba-large-1.7,False,398.0,94.0,SSM-MoE,-0.0464872034832229,48
deepseek/deepseek-chat,True,,,,-0.0537365430312662,49
google/gemma-3-27b-it,True,27.0,27.0,dense,-0.0755332502573238,50
nousresearch/hermes-4-70b,False,70.0,70.0,dense,-0.080410589861893,51
nousresearch/hermes-3-llama-3.1-405b,False,405.0,405.0,dense,-0.1186092001130121,52
qwen/qwen-turbo,True,,,,-0.1439263448973866,53
mistralai/ministral-8b-2512,False,8.0,8.0,dense,-0.1540348066153424,54
meta-llama/llama-3.1-70b-instruct,False,70.0,70.0,dense,-0.2146690191164701,55
mistralai/pixtral-large-2411,False,124.0,124.0,dense,-0.2412897366292768,56
nvidia/nemotron-nano-12b-v2-vl,False,12.0,12.0,dense,-0.2591702253940353,57
amazon/nova-lite-v1,True,,,,-0.2777564639943654,58
amazon/nova-2-lite-v1,True,,,,-0.2842359992358177,59
amazon/nova-pro-v1,True,,,,-0.2863374935459662,60
arcee-ai/trinity-large-preview,True,,,,-0.2895436248815928,61
google/gemma-3-4b-it,True,4.0,4.0,dense,-0.2920188377522608,62
meta-llama/llama-3.3-70b-instruct,False,70.0,70.0,dense,-0.3293449561603684,63
minimax/minimax-01,True,,,,-0.3374645303211036,64
meta-llama/llama-4-scout,False,109.0,17.0,MoE,-0.371456026799106,65
nvidia/nemotron-nano-9b-v2,False,9.0,9.0,dense,-0.3965624377560227,66
mistralai/mistral-nemo,False,12.0,12.0,dense,-0.4207475842896795,67
tencent/hunyuan-a13b-instruct,False,13.0,13.0,dense,-0.4459340590321021,68
meta-llama/llama-4-maverick,False,400.0,17.0,MoE,-0.4874812761336905,69
amazon/nova-micro-v1,True,,,,-0.5249593544825012,70
meta-llama/llama-3.2-11b-vision-instruct,False,11.0,11.0,dense,-0.5783060111062649,71
meta-llama/llama-3-8b-instruct,False,8.0,8.0,dense,-0.665075501825374,72
meta-llama/llama-3.1-8b-instruct,False,8.0,8.0,dense,-0.6705845437189519,73
ibm-granite/granite-4.0-h-micro,False,3.0,3.0,dense,-0.7190772909628861,74
google/gemma-2-27b-it,True,27.0,27.0,dense,-0.8913328798435175,75
nvidia/nemotron-3-nano-30b-a3b,False,30.0,3.0,MoE,-0.965981006645092,76
minimax/minimax-m2-her,True,,,,-1.003257950337942,77
qwen/qwen3-14b,False,14.0,14.0,dense,-1.011824245731722,78
z-ai/glm-4.5v,False,355.0,32.0,MoE,-1.0737903423779156,79
meta-llama/llama-3.2-3b-instruct,False,3.0,3.0,dense,-1.075880044879138,80
mistralai/mistral-small-3.1-24b-instruct,False,24.0,24.0,dense,-1.1696684438283798,81
morph/morph-v3-fast,True,,,,-1.496823838971589,82
nousresearch/hermes-3-llama-3.1-70b,False,70.0,70.0,dense,-1.5651955656991097,83
