model,datasets,n_metric_obs,mean_z,median_z,rank
mistralai/mistral-medium-3.1,78,960,0.1792006449339442,0.2376636893075358,52
mistralai/mixtral-8x22b-instruct,78,960,0.1761479136905901,0.244239231186485,53
allenai/olmo-3.1-32b-instruct,78,960,0.1675880811241459,0.2329798543269134,56
qwen/qwen3-next-80b-a3b-instruct,78,960,0.1571048636184014,0.2289889558779211,58
nvidia/nemotron-3-super-120b-a12b,78,960,0.1570887047849143,0.2383951767589146,59
openai/gpt-4o-mini,78,960,0.1543687066571874,0.182801090717891,60
nousresearch/hermes-4-70b,78,960,0.1458087082160273,0.1508604444936375,63
deepseek/deepseek-chat-v3-0324,78,960,0.1215835383263133,0.1963525668548524,68
openai/gpt-5.4-nano,78,960,0.1131364768815521,0.1469268802984383,70
qwen/qwen-turbo,78,960,0.1126458447320135,0.1742145285831552,71
nousresearch/hermes-3-llama-3.1-405b,78,960,0.1037454379909666,0.1193944171977622,72
mistralai/mistral-large-2512,78,960,0.1016956879326165,0.2059703899998811,73
baidu/ernie-4.5-vl-424b-a47b,78,960,0.0737425559572088,0.1132163611271201,76
deepseek/deepseek-chat,78,960,0.0703424466955145,0.1894781019479934,77
google/gemma-3-12b-it,78,960,0.0554295522862342,0.1184666333138834,79
arcee-ai/trinity-large-preview,78,960,0.0469097268781097,0.1453583979790065,80
mistralai/pixtral-large-2411,78,960,0.0224434657220733,0.1272235768565339,81
meta-llama/llama-3.3-70b-instruct,78,960,0.0097341959793873,0.1415515911617648,82
amazon/nova-lite-v1,78,960,-0.0106638947931454,0.1174207138423413,85
google/gemma-3-27b-it,78,960,-0.0261129802087847,0.0753517854297586,88
meta-llama/llama-3.1-70b-instruct,78,960,-0.0393834844787849,0.0633297859889476,89
amazon/nova-pro-v1,78,960,-0.0435889365467679,0.0706937005169318,91
amazon/nova-2-lite-v1,78,960,-0.0626841498226953,0.0657454119384757,92
nvidia/nemotron-nano-9b-v2,78,960,-0.0633345759215426,0.0041984430612252,93
meta-llama/llama-4-scout,78,960,-0.0759673668390495,0.0526550625870561,95
minimax/minimax-01,78,960,-0.0996319583643167,0.0276840976890192,98
nvidia/nemotron-nano-12b-v2-vl,78,960,-0.1204550768420795,-0.0809528792004254,99
mistralai/ministral-8b-2512,78,960,-0.1308231155051898,-0.0605899140857415,100
meta-llama/llama-3.2-11b-vision-instruct,78,960,-0.1469581925520736,-0.1124820058545967,103
mistralai/mistral-nemo,78,960,-0.1483519012900609,-0.0857492925712543,104
meta-llama/llama-4-maverick,78,960,-0.1664220247610338,-0.0019833382280858,105
openai/gpt-5.4-mini,78,960,-0.1744942627186873,0.3476253810034397,107
amazon/nova-micro-v1,78,960,-0.192912103893723,-0.1214642976001035,109
google/gemma-3-4b-it,78,960,-0.2039149259910647,-0.0857492925712543,110
meta-llama/llama-3.1-8b-instruct,78,960,-0.2501469749828147,-0.1362916114385274,116
deepcogito/cogito-v2.1-671b,78,960,-0.2622219543295957,0.170206707907584,119
meta-llama/llama-3-8b-instruct,78,960,-0.2731732230841727,-0.1892781650597195,121
ibm-granite/granite-4.0-h-micro,78,960,-0.2791016766034912,-0.1833100757461704,122
google/gemma-2-27b-it,78,960,-0.2937777704355574,-0.1221583189506097,123
tencent/hunyuan-a13b-instruct,78,960,-0.3068649203688755,-0.1138431670210842,124
meta-llama/llama-3.2-3b-instruct,78,960,-0.4298973453027355,-0.2119898920407656,125
minimax/minimax-m2-her,78,960,-0.4838896717467847,-0.4382531043392074,126
nvidia/nemotron-3-nano-30b-a3b,78,960,-0.5260188738297504,-0.3639346839345799,128
mistralai/mistral-small-3.1-24b-instruct,78,957,-0.6089568249839444,-0.1925462778464554,129
morph/morph-v3-fast,78,960,-0.6984699307305459,-0.7935050541174243,131
nousresearch/hermes-3-llama-3.1-70b,78,960,-0.7428167510960129,-0.6190269952959396,134
z-ai/glm-4.5v,78,960,-0.7867267840139728,-0.4876039087600834,135
qwen/qwen3-14b,78,960,-0.9338492847235724,-0.5779861568775249,136
