model,datasets,n_metric_obs,mean_z,median_z,rank,agc_rank,aa_match_name,aa_match_conf,gpqa_diamond,hle,mmlu_pro_aa,math_500_aa,livecodebench_aa,aime_2025_aa,aime_2024_aa,scicode_aa,ifbench_aa,tau2_aa,mmmu_pro_aa,critpt_aa,intelligence_index_aa,math_index_aa,coding_index_aa,agentic_index_aa,hf_match_name,hf_match_conf,lb_match_name,lb_match_conf,zebra_match_name,zebra_match_conf,arc_agi_1,arc_agi_2,has_gpqa,has_hle,has_mmlu_pro,has_math500_or_aime,has_livecodebench,has_scicode,has_zebra,has_musr,has_bbh,has_arc_agi_2,has_intel_idx,has_math_idx,has_coding_idx,n_benchmarks_covered,lb_zebra_puzzle,lb_amps_hard,lb_olympiad,lb_math_comp,lb_web_of_lies,lb_code_generation,zebra_puzzle_acc,bbh_hf,musr_hf,math_lvl5_hf,mmlu_pro_hf,gpqa_hf,ifeval_hf
anthropic_claude-opus-4.6,65,327,0.3905104242643387,0.3636900662668135,11,7,"Claude Opus 4.6 (Adaptive Reasoning, Max Effort)",exact,0.896,0.367,,,,,,0.519,0.531,0.921,0.754,0.126,52.95,,48.09,67.58,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,
z-ai_glm-4.7,79,387,0.3798455140511897,0.3659335099328324,12,9,GLM-4.7 (Reasoning),exact,0.859,0.251,0.856,,0.894,0.95,,0.451,0.679,0.959,,0.017,42.11,95.0,36.26,55.01,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
google_gemma-4-26b-a4b-it,79,387,0.3448845835198325,0.3630290819751777,13,11,Gemma 4 26B A4B (Reasoning),exact,0.792,0.183,,,,,,0.4,0.724,0.436,0.692,0.0,31.21,,22.44,32.15,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,
google_gemini-2.5-flash,72,372,0.3419647586181507,0.3291280178017217,14,12,Gemini 2.5 Flash (Reasoning),exact,0.79,0.111,0.832,0.981,0.695,0.733,0.823,0.394,0.503,0.316,0.691,0.011,27.04,73.33,22.21,18.76,,none,gemini-2.5-flash-lite-highthinking,fuzzy(0.67),,none,0.333,,True,True,True,True,True,True,True,False,False,False,True,True,True,7,12.75,93.0,66.633,73.529,,67.606,,,,,,,
moonshotai_kimi-k2.5,79,387,0.3277595217079996,0.3389166749144546,16,21,Kimi K2.5 (Reasoning),exact,0.879,0.294,,,,,,0.49,0.702,0.959,0.754,0.031,46.81,,39.55,58.94,,none,kimi-k2-thinking,fuzzy(0.67),,none,,,True,True,False,False,False,True,True,False,False,False,True,False,True,4,46.25,96.0,80.305,96.078,,71.831,,,,,,,
deepseek_deepseek-v3.2,79,387,0.3258247467266318,0.3522673099045296,17,15,DeepSeek V3.2 (Reasoning),exact,0.84,0.222,0.862,,0.862,0.92,,0.389,0.607,0.906,,0.029,41.71,92.0,36.7,52.92,,none,deepseek-v3.2-thinking,exact,,none,,,True,True,True,True,True,True,True,False,False,False,True,True,True,7,69.75,97.0,85.037,95.098,,66.197,,,,,,,
deepseek_deepseek-v3.1-terminus,79,387,0.3249176366279159,0.3337284813483921,18,16,DeepSeek V3.1 Terminus (Reasoning),exact,0.792,0.152,0.851,,0.798,0.897,,0.406,0.57,0.371,,0.017,33.93,89.67,33.74,29.77,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
deepseek_deepseek-v3.2-exp,79,387,0.3040655928746792,0.3455036824745917,22,20,DeepSeek V3.2 Exp (Reasoning),exact,0.797,0.138,0.85,,0.789,0.877,,0.377,0.541,0.339,,0.014,32.94,87.67,33.28,28.73,,none,deepseek-v3.2-exp-thinking,exact,,none,,,True,True,True,True,True,True,True,False,False,False,True,True,True,7,30.25,96.0,82.424,92.157,,66.197,,,,,,,
anthropic_claude-sonnet-4.6,79,387,0.2997160442642382,0.3133035626133285,23,30,"Claude Sonnet 4.6 (Adaptive Reasoning, Max Effort)",exact,0.875,0.3,,,,,,0.468,0.566,0.757,0.733,0.031,51.72,,50.94,63.0,,none,claude-4-sonnet-20250514-thinking-64k,fuzzy(0.60),,none,,,True,True,False,False,False,True,True,False,False,False,True,False,True,4,52.5,86.0,83.702,85.294,,78.873,,,,,,,
openai_gpt-5.4-mini,67,344,0.2988462578441343,0.3160545010747219,24,19,GPT-5.4 mini (xhigh),exact,0.875,0.266,,,,,,0.499,0.733,0.833,0.733,0.1,48.9,,51.48,58.88,,none,gpt-5-mini,fuzzy(0.75),,none,,,True,True,False,False,False,True,True,False,False,False,True,False,True,4,41.0,98.0,78.295,89.216,,76.056,,,,,,,
openai_gpt-4.1,68,351,0.2974844871790796,0.3107301031152411,25,23,GPT-4.1,exact,0.666,0.046,0.806,0.913,0.457,0.347,0.437,0.381,0.43,0.471,0.612,0.0,26.28,34.67,21.78,27.26,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
z-ai_glm-4.6,79,387,0.2926958513636944,0.3324977778730791,26,31,GLM-4.6 (Reasoning),exact,0.78,0.133,0.829,,0.695,0.86,,0.384,0.434,0.705,,0.011,32.51,86.0,29.48,41.61,,none,glm-4.6,exact,,none,,,True,True,True,True,True,True,True,False,False,False,True,True,True,7,48.25,98.0,81.414,95.098,,74.648,,,,,,,
deepseek_deepseek-chat-v3.1,79,387,0.28904699125765,0.3202483895627507,27,24,DeepSeek V3.1 (Reasoning),exact,0.779,0.13,0.851,,0.784,0.897,,0.391,0.415,0.374,,0.02,27.71,89.67,29.71,18.85,,none,,none,,none,0.158,0.013,True,True,True,True,True,True,False,False,False,True,True,True,True,7,,,,,,,,,,,,,
anthropic_claude-sonnet-4,79,387,0.2867345676272236,0.3477853241890591,28,26,Claude 4 Sonnet (Reasoning),exact,0.777,0.096,0.842,0.991,0.655,0.743,0.773,0.4,0.547,0.646,0.618,0.003,38.66,74.33,34.06,43.02,,none,claude-4-sonnet-20250514-thinking-64k,fuzzy(0.75),,none,0.4,0.059,True,True,True,True,True,True,True,False,False,True,True,True,True,8,52.5,86.0,83.702,85.294,,78.873,,,,,,,
openai_gpt-5.1,68,351,0.2772446315515937,0.3065238743056906,31,32,GPT-5.1 (high),exact,0.873,0.265,0.87,,0.868,0.94,,0.433,0.729,0.819,0.755,0.049,47.7,94.0,44.73,51.26,,none,gpt-5.1-codex,fuzzy(0.75),,none,,,True,True,True,True,True,True,True,False,False,False,True,True,True,7,89.0,95.0,82.244,96.078,,71.831,,,,,,,
moonshotai_kimi-k2-0905,79,387,0.27159746687813,0.3121220816394663,33,75,Kimi K2 0905,exact,0.767,0.063,0.819,,0.61,0.573,,0.307,0.417,0.734,,0.0,30.85,57.33,25.88,37.73,,none,kimi-k2-thinking,fuzzy(0.67),,none,,,True,True,True,True,True,True,True,False,False,False,True,True,True,7,46.25,96.0,80.305,96.078,,71.831,,,,,,,
nex-agi_deepseek-v3.1-nex-n1,79,387,0.2678348045314392,0.315066689679805,35,48,,none,,,,,,,,,,,,,,,,,,none,,none,,none,,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,,,,,,,,,,,,,
openai_gpt-4o,79,387,0.2615200680630127,0.2357627512599888,36,34,GPT-4o (Nov '24),exact,0.543,0.033,0.748,0.759,0.309,0.06,0.15,0.333,0.343,0.251,,0.0,17.32,6.0,16.67,8.38,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
baidu_ernie-4.5-300b-a47b,79,387,0.2428283831699793,0.2989695544595721,38,36,ERNIE 4.5 300B A47B,exact,0.811,0.035,0.776,0.931,0.467,0.413,0.493,0.315,0.391,0.0,,0.0,14.96,41.33,14.53,0.0,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
anthropic_claude-3.7-sonnet,79,387,0.2137345585591503,0.2828849566359305,44,45,Claude 3.7 Sonnet (Reasoning),exact,0.772,0.103,0.837,0.947,0.473,0.563,0.487,0.403,0.483,0.547,,0.009,34.71,56.33,27.57,37.0,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
moonshotai_kimi-k2.6,79,387,0.2134159072863375,0.1898410618399345,45,70,Kimi K2.6,exact,0.911,0.359,,,,,,0.535,0.76,0.959,0.794,0.08,53.9,,47.12,65.97,,none,kimi-k2-thinking,fuzzy(0.67),,none,,,True,True,False,False,False,True,True,False,False,False,True,False,True,4,46.25,96.0,80.305,96.078,,71.831,,,,,,,
openai_gpt-4.1-mini,68,351,0.2103853627603904,0.2357627512599888,46,35,GPT-4.1 mini,exact,0.664,0.046,0.781,0.925,0.483,0.463,0.43,0.404,0.383,0.529,0.587,0.0,22.9,46.33,18.52,25.15,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
qwen_qwen3.5-flash-02-23,79,387,0.2043051774623397,0.2452260127913229,47,46,Qwen3.5 Omni Flash,exact,0.742,0.071,,,,,,0.255,0.38,0.845,0.647,0.0,25.87,,14.04,41.63,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,
mistralai_mixtral-8x22b-instruct,79,387,0.1794931237750978,0.2290269214479846,51,53,Mixtral 8x22B Instruct,exact,0.332,0.041,0.537,0.545,0.148,,0.0,0.188,,,,,9.84418267067612,,,,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,False,False,6,,,,,,,,,,,,,
qwen_qwen3-next-80b-a3b-instruct,79,387,0.1700650400363198,0.2486628607538779,52,57,Qwen3 Next 80B A3B Instruct,exact,0.738,0.073,0.819,,0.684,0.663,,0.307,0.397,0.216,,0.0,20.11,66.33,15.27,14.19,,none,qwen3-next-80b-a3b-instruct,exact,,none,,,True,True,True,True,True,True,True,False,False,False,True,True,True,7,32.75,97.0,71.437,86.275,,69.014,,,,,,,
anthropic_claude-haiku-4.5,79,387,0.166101217508877,0.2855568528684189,54,60,Claude 4.5 Haiku (Reasoning),exact,0.672,0.097,0.76,,0.615,0.837,,0.433,0.543,0.547,0.586,0.0,37.09,83.67,32.61,40.16,,none,claude-haiku-4-5-20251001-thinking-64k,fuzzy(0.80),,none,,,True,True,True,True,True,True,True,False,False,False,True,True,True,7,58.5,97.0,80.03,95.098,,76.056,,,,,,,
openai_gpt-4o-mini,79,387,0.1652174591807425,0.2108679682070693,55,67,GPT-4o mini,exact,0.426,0.04,0.648,0.789,0.234,0.147,0.117,0.229,0.31,,0.415,,12.647336534486156,14.67,,,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,False,6,,,,,,,,,,,,,
openai_gpt-5.4-nano,68,351,0.1631478493303409,0.2197185168366603,56,54,GPT-5.4 nano (xhigh),exact,0.817,0.265,,,,,,0.469,0.759,0.76,0.654,0.093,43.98,,43.91,47.6,,none,gpt-5-nano,fuzzy(0.75),,none,,,True,True,False,False,False,True,True,False,False,False,True,False,True,4,11.5,96.0,54.522,86.275,,76.056,,,,,,,
nousresearch_hermes-4-405b,79,387,0.1588436532900822,0.1638325145868214,57,68,Hermes 4 - Llama-3.1 405B (Reasoning),exact,0.727,0.103,0.829,,0.686,0.697,,0.252,0.327,0.222,,0.003,18.56,69.67,15.99,12.64,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
mistralai_mistral-medium-3.1,79,387,0.1510334137547363,0.268078694618456,61,72,Mistral Medium 3.1,exact,0.588,0.044,0.683,,0.406,0.383,,0.338,0.398,0.406,0.542,0.0,21.25,38.33,18.34,25.28,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
ai21_jamba-large-1.7,79,387,0.143453369456854,0.1953249574094355,63,51,Jamba 1.7 Large,exact,0.39,0.038,0.577,0.6,0.181,0.023,0.057,0.188,0.352,0.135,,0.0,10.88,2.33,7.77,4.48,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
mistralai_mistral-large-2512,79,387,0.1381154073843393,0.2569322924196582,66,74,Mistral Large 2 (Nov '24),exact,0.486,0.04,0.697,0.736,0.293,0.14,0.11,0.292,0.312,0.307,,0.0,15.09,14.0,13.76,10.23,,none,,none,Mistral-Large-2,exact,,,True,True,True,True,True,True,True,False,False,False,True,True,True,7,,,,,,,29.0,,,,,,
baidu_ernie-4.5-vl-424b-a47b,79,387,0.1190027358419671,0.1405121598412933,68,69,,none,,,,,,,,,,,,,,,,,,none,,none,,none,,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,,,,,,,,,,,,,
nvidia_nemotron-3-super-120b-a12b,79,387,0.1156122617956165,0.2024136381184199,71,65,Llama 3.3 Nemotron Super 49B v1 (Reasoning),exact,0.643,0.065,0.785,0.959,0.277,0.547,0.583,0.282,0.381,0.269,,0.0,18.49174710104611,54.67,9.41,,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
deepseek_deepseek-chat-v3-0324,79,387,0.1113519989772605,0.2051496453439736,72,55,DeepSeek V3 0324,exact,0.655,0.052,0.819,0.942,0.405,0.41,0.52,0.358,0.41,0.471,,0.0,22.28,41.0,22.02,16.26,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
allenai_olmo-3.1-32b-instruct,79,387,0.1109338143505172,0.150807679677262,73,63,Olmo 3.1 32B Instruct,exact,0.539,0.049,,,,,,0.167,0.392,0.213,,0.0,12.16,,5.56,7.12,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,
nousresearch_hermes-3-llama-3.1-405b,79,387,0.1020360115834375,0.1373283665574907,74,82,,none,,,,,,,,,,,,,,,,,,none,,none,,none,,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,,,,,,,,,,,,,
qwen_qwen-turbo,79,387,0.0872014174190526,0.1274512913814694,75,71,Qwen2.5 Turbo,exact,0.41,0.042,0.633,0.805,0.163,,0.12,0.153,,,,,11.973563045943266,,,,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,False,False,6,,,,,,,,,,,,,
nousresearch_hermes-4-70b,79,387,0.0561289361989145,0.0853899918668859,77,77,Hermes 4 - Llama-3.1 70B (Reasoning),exact,0.699,0.079,0.811,,0.653,0.687,,0.341,0.313,0.225,,0.0,15.99,68.67,14.41,11.7,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
google_gemma-3-12b-it,79,387,0.0444779014774211,0.1267218649018771,78,80,Gemma 3 12B Instruct,fuzzy(0.75),0.349,0.048,0.595,0.853,0.137,0.183,0.22,0.174,0.367,0.108,0.375,0.0,8.79,18.33,6.29,3.61,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
mistralai_pixtral-large-2411,79,387,0.0337292982954132,0.1008041966931079,79,85,Pixtral Large,exact,0.505,0.036,0.701,0.714,0.261,0.023,0.07,0.292,0.345,0.365,0.506,,14.000187381306649,2.33,,,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,False,6,,,,,,,,,,,,,
deepseek_deepseek-chat,79,387,0.0268948515049575,0.1546277786601332,80,76,DeepSeek V3 (Dec '24),exact,0.557,0.036,0.752,0.887,0.359,0.26,0.253,0.354,0.348,0.228,,0.0,16.46,26.0,16.35,8.83,,none,,none,deepseek-v3,exact,,,True,True,True,True,True,True,True,False,False,False,True,True,True,7,,,,,,,42.1,,,,,,
google_gemma-3-27b-it,79,387,0.0181875005596307,0.0591223272288228,82,81,Gemma 3 27B Instruct,fuzzy(0.75),0.428,0.047,0.669,0.883,0.137,0.207,0.253,0.212,0.318,0.105,0.48,0.0,10.31,20.67,9.59,3.51,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
meta-llama_llama-3.3-70b-instruct,79,387,0.0153004101286368,0.1106433861348911,83,84,Llama 3.3 Instruct 70B,exact,0.498,0.04,0.713,0.773,0.288,0.077,0.3,0.26,0.471,0.266,,0.0,14.49,7.67,10.7,9.09,meta-llama/Llama-3.3-70B-Instruct,exact,,none,,none,,,True,True,True,True,True,True,False,True,True,False,True,True,True,8,,,,,,,,56.561410788022194,15.565625,48.338368580060425,48.12906323877069,10.514541387024613,89.97581971391463
amazon_nova-pro-v1,79,387,0.0050495107017025,0.1040792223404166,85,83,Nova Pro,exact,0.499,0.034,0.691,0.786,0.233,0.07,0.107,0.208,0.381,0.14,0.443,0.0,13.48,7.0,10.98,4.68,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
amazon_nova-lite-v1,79,387,-0.0495801767047446,0.0739351045460587,87,89,Nova Lite,exact,0.433,0.046,0.59,0.765,0.167,0.07,0.107,0.139,0.341,0.175,0.378,0.0,12.65,7.0,5.13,5.85,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
arcee-ai_trinity-large-preview,79,387,-0.059988098472608,0.0583636086012146,89,86,Trinity Large Thinking,exact,0.752,0.147,,,,,,0.361,0.563,0.901,,0.009,31.87,,27.19,42.61,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,
amazon_nova-2-lite-v1,79,387,-0.06113107831592,0.0240576362312352,90,96,Nova 2.0 Lite (high),exact,0.811,0.109,0.818,,0.711,0.943,,0.369,0.707,0.728,0.638,,34.54317368742869,94.33,23.42,37.34,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
nvidia_nemotron-nano-9b-v2,79,387,-0.061350953080207,-0.0171488919376775,91,94,NVIDIA Nemotron Nano 9B V2 (Reasoning),fuzzy(0.80),0.57,0.046,0.742,,0.724,0.697,,0.22,0.276,0.219,,0.0,14.76,69.67,8.34,9.43,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
meta-llama_llama-3.1-70b-instruct,79,387,-0.0738288773321132,-0.0206231789516569,94,91,Llama 3.1 Instruct 70B,exact,0.409,0.046,0.676,0.649,0.232,0.04,0.173,0.267,0.344,0.152,,0.0,12.47,4.0,10.93,5.07,meta-llama/Llama-3.1-70B-Instruct,exact,,none,,none,,,True,True,True,True,True,True,False,True,True,False,True,True,True,8,,,,,,,,55.92799173898473,17.691145833333334,38.06646525679759,47.87972813238771,14.205816554809845,86.6885419575615
meta-llama_llama-4-scout,79,387,-0.0827993870244825,-0.0110189210620067,96,93,Llama 4 Scout,exact,0.587,0.043,0.752,0.844,0.299,0.14,0.283,0.17,0.395,0.155,0.529,0.0,13.52,14.0,6.68,5.17,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
nvidia_nemotron-nano-12b-v2-vl,79,387,-0.0876659028985589,-0.0472844805246021,98,99,NVIDIA Nemotron Nano 12B v2 VL (Reasoning),fuzzy(0.83),0.572,0.053,0.759,,0.694,0.75,,0.262,0.319,0.213,0.529,0.0,14.89,75.0,11.75,7.12,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
mistralai_mistral-nemo,79,387,-0.151166070385954,-0.0854357657716758,101,105,,none,,,,,,,,,,,,,,,,,,none,,none,,none,,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,,,,,,,,,,,,,
mistralai_ministral-8b-2512,79,387,-0.1537274154668388,-0.1208656854099569,102,111,Ministral 3 8B,exact,0.471,0.043,0.642,,0.303,0.317,,0.208,0.291,0.266,0.46,0.0,14.84,31.67,9.97,16.66,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
minimax_minimax-01,79,387,-0.1623597543853451,-0.0854357657716758,104,100,,none,,,,,,,,,,,,,,,,,,none,,none,,none,,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,,,,,,,,,,,,,
tencent_hunyuan-a13b-instruct,79,387,-0.1788446644526707,-0.1212490060801028,105,116,,none,,,,,,,,,,,,,,,,,,none,,none,,none,,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,,,,,,,,,,,,,
meta-llama_llama-4-maverick,79,387,-0.2025939141069126,-0.0948344356211282,108,104,Llama 4 Maverick,exact,0.671,0.048,0.809,0.889,0.397,0.193,0.39,0.331,0.43,0.178,0.621,0.0,18.36,19.33,15.58,7.22,,none,,none,,none,0.044,0.0,True,True,True,True,True,True,False,False,False,True,True,True,True,7,,,,,,,,,,,,,
meta-llama_llama-3.2-11b-vision-instruct,79,387,-0.2125233310523991,-0.1530291019529579,110,112,Llama 3.2 Instruct 11B (Vision),exact,0.221,0.052,0.464,0.516,0.11,0.017,0.093,0.112,0.304,0.146,0.293,0.0,8.73,1.67,4.25,4.87,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
amazon_nova-micro-v1,79,387,-0.2134530120707707,-0.1674759656773062,111,106,Nova Micro,exact,0.358,0.047,0.531,0.703,0.14,0.06,0.08,0.094,0.294,0.14,,0.0,10.27,6.0,4.14,4.68,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
google_gemma-3-4b-it,79,387,-0.2572632707870519,-0.1727879077089493,112,108,Gemma 3 4B Instruct,fuzzy(0.75),0.291,0.052,0.417,0.766,0.112,0.127,0.063,0.073,0.283,0.05,0.299,0.0,6.3,12.67,2.94,1.66,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
meta-llama_llama-3.1-8b-instruct,79,387,-0.2901443094312994,-0.2152752622706568,115,114,Llama 3.1 Instruct 8B,exact,0.259,0.051,0.476,0.519,0.116,0.043,0.077,0.132,0.286,0.164,,0.0,11.76,4.33,4.9,5.46,meta-llama/Llama-3.1-8B-Instruct,exact,,none,,none,,,True,True,True,True,True,True,False,True,True,False,True,True,True,8,,,,,,,,29.379192497334035,8.611197916666667,15.55891238670695,31.091164302600465,8.7248322147651,49.217077354752064
meta-llama_llama-3-8b-instruct,79,387,-0.3017938829433294,-0.298017930263123,116,118,Llama 3 Instruct 8B,fuzzy(0.75),0.296,0.051,0.405,0.499,0.096,,0.0,0.119,0.246,0.0,,0.0,6.38,,3.98,0.0,AI-Sweden-Models/Llama-3-8B-instruct,exact,,none,,none,,,True,True,True,True,True,True,False,True,True,False,True,False,True,8,,,,,,,,18.388095615027524,19.93671875,3.8519637462235647,17.747118794326237,2.1252796420581683,24.012841482821138
ibm-granite_granite-4.0-h-micro,79,387,-0.3030936561669139,-0.237220141031626,117,121,Granite 4.0 Micro,fuzzy(0.80),0.336,0.051,0.447,,0.18,0.06,,0.119,0.248,0.126,,0.0,7.67,6.0,4.98,4.19,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
