model,Brainstorming,Humor,Literary and Narrative,Problem Solving,STEM
deepseek/deepseek-chat-v3-0324,-0.2174600989992599,0.0736093453455368,-0.0720529394129924,-0.2699930417898618,-0.0903753502125632
deepseek/deepseek-chat-v3.1,0.2788526687039318,0.2745970710212619,0.286461204699536,0.0119732190371219,0.0085480323258997
deepseek/deepseek-v3.1-terminus,0.3409959699233134,0.9353277855130124,0.400847663644641,0.1013795659051552,0.383278917504557
deepseek/deepseek-v3.2,0.2805027927175183,0.0299243661377929,0.4619899568075635,0.4070668597589527,0.5584037963233287
deepseek/deepseek-v3.2-exp,0.3400493886075225,0.4317458761591086,0.3709419658609242,0.5256292338150039,0.6958721401701463
google/gemini-2.5-flash,0.9539969591025113,0.9353277855130124,0.3998388155468091,0.1392519511391152,0.5539950477178749
google/gemma-2-27b-it,-1.120867762842143,0.4317458761591086,-1.0461640116604494,0.3891719852925214,-0.7281283817491233
google/gemma-3-12b-it,0.1752833701411169,-0.5690595213724237,-0.3159952464425514,0.0263983999857457,0.0544717486056407
google/gemma-3-27b-it,-0.0276785972564505,-0.5600530018085861,-0.3719450361341575,-0.1158961042351944,-0.1045422998460348
google/gemma-3-4b-it,0.0236679005966133,0.0736093453455368,-0.4561896264183105,-0.8198224176673791,-0.2124207706753681
google/gemma-4-26b-a4b-it,0.3497631558069616,0.7713804234631971,0.4412868037116205,0.5431192341901426,0.4959959295867205
google/gemma-4-31b-it,0.3994324594543054,0.9353277855130124,0.5231606885816925,0.6639243027917746,0.8231731183943094
ibm-granite/granite-4.0-h-micro,0.1081352737118799,2.37785642657886,0.2723131726138673,-0.5606256595914608,-0.3108264026998029
meta-llama/llama-3-8b-instruct,-0.6531921218517788,0.4317458761591086,-0.3527650811245493,-0.4255925655042712,-0.4608400743830703
meta-llama/llama-3.1-70b-instruct,-0.325858691502362,0.4317458761591086,-0.0061423879962368,0.2133395472561089,0.0381623300918645
meta-llama/llama-3.1-8b-instruct,-0.4715561814520857,0.9682411761082528,-0.258759309258414,-0.4964701893795616,-0.403082028622269
meta-llama/llama-3.2-11b-vision-instruct,-0.5520338747589714,1.0140168244213492,-0.1317677117875731,-0.2363581198416725,0.0346680734803635
meta-llama/llama-3.2-3b-instruct,-0.544409076940913,-2.1602178488309924,-0.5509384837276627,-0.6808169946336812,-0.8582487318044831
meta-llama/llama-3.3-70b-instruct,-0.2890134745581229,-0.2369312357644595,-0.0005769225487455,0.5817584956640585,-0.0590173943523888
meta-llama/llama-4-maverick,-0.3634322300116733,-0.663125174073567,-0.1125395896725503,-0.6144105190939798,-0.3612090909196392
meta-llama/llama-4-scout,-0.4034123075034752,-0.3355286550743024,-0.3147988954512002,-0.1300113322667818,-0.1403584235700282
minimax/minimax-01,-0.4393981665056174,0.0736093453455368,0.0517540640323468,-0.7485288976332466,-0.5000360660458586
minimax/minimax-m2-her,-0.1319860899206315,-1.6770290062457998,-0.7022591813580694,-0.9773586764279064,-0.7559303730191846
mistralai/ministral-8b-2512,-0.0640942768138444,-0.3352698856436622,0.0097583351534798,-0.1903309534678106,0.2325023809785375
mistralai/mistral-large-2512,-0.2227305463222354,0.2552270570485926,0.3153541056614156,0.448012996307692,0.2937779869176057
mistralai/mistral-medium-3.1,-0.1906208912527426,0.4317458761591086,0.4452141590742917,0.4816370021873838,0.3359669432129241
mistralai/mistral-nemo,-0.5282621837073717,1.296497189989624,0.0714146628759874,-0.2591869083601331,-0.2776936856526487
mistralai/mistral-small-3.1-24b-instruct,0.3910691368973693,0.0736093453455368,-0.1191287334602735,0.038923746894992,-1.297169225632851
mistralai/mixtral-8x22b-instruct,-0.3267004061283846,0.4317458761591086,0.1365154069348002,0.0934157790690832,0.3407045860989987
mistralai/pixtral-large-2411,-0.2458036679306395,0.4317458761591086,0.211063861252143,0.2366518241868709,-0.2922599548474719
moonshotai/kimi-k2-0905,0.145441258756707,0.2552270570485926,0.4837702780617677,0.4858397811309849,0.4149716576607652
moonshotai/kimi-k2.5,0.2790837349048689,0.0736093453455368,0.3653461020976621,0.8154831375957418,0.3166681947043229
moonshotai/kimi-k2.6,0.1618703564647699,-0.7643971534324376,0.4746165002959268,0.3073566501904796,0.3074125427990473
morph/morph-v3-fast,-0.1832703562745409,-2.51439966249982,-1.2731000974585889,-1.437230825243505,-0.9220069595018968
nex-agi/deepseek-v3.1-nex-n1,0.2374626507037704,-0.1136495250952543,0.1527625319981286,0.4085595080233683,0.5686315675451906
nousresearch/hermes-3-llama-3.1-405b,-0.0498682671973484,0.9353277855130124,0.3664104590027128,0.5230338488383616,-0.364599743894096
nousresearch/hermes-3-llama-3.1-70b,-0.8828020462600743,-2.5903984719888618,-1.0131926189453342,-0.2818254682928233,-0.9566202610837348
nousresearch/hermes-4-405b,0.3878635549707654,0.2552270570485926,0.0985317492535196,0.3581728056875281,0.1952290162049015
nousresearch/hermes-4-70b,0.2641820846256906,0.6036513861930728,0.3026220317927544,0.1892631085429792,-0.061416637862265
nvidia/nemotron-3-nano-30b-a3b,0.1902862200403443,-2.5903984719888618,-0.8074522173289038,-1.8314580472641389,-0.1619248807582231
nvidia/nemotron-3-super-120b-a12b,0.3015543229651525,0.6036513861930728,0.2045359332353818,0.0715174444681679,0.6191536948014968
nvidia/nemotron-nano-12b-v2-vl,0.0885065264391252,0.6036513861930728,-0.2035062802012762,0.2440264845593879,-0.2913246838776996
nvidia/nemotron-nano-9b-v2,0.0376503280171509,-0.7111346229426581,-0.1738745817631252,-0.1377572327691975,-0.2449718876982265
openai/gpt-4.1,0.6539796793657987,0.6927208054864964,0.0507003843424861,0.8104246080666019,0.5759129208927978
openai/gpt-4.1-mini,0.3328589258328407,0.7186060409444839,-0.1076850851373097,0.5591467214623054,0.0653032556469163
openai/gpt-4o,0.2764860934798541,0.0736093453455368,0.3788535774975527,0.421786585395776,0.2065468644653721
openai/gpt-4o-mini,0.3324985949292445,0.0736093453455368,0.2875836059575248,0.4271064863631403,0.2396372319252028
openai/gpt-5.1,0.2457047071229721,0.8812056934878267,0.3664698798818476,0.6583688544233784,0.7940115204874438
openai/gpt-5.4,0.1835796099516134,0.6905315199659323,0.1701902954227585,0.8278486183864032,0.695756324633084
openai/gpt-5.4-mini,0.3477432316552784,0.7739512417591972,-1.006070129562096,0.5280875970936125,0.3063499138202151
openai/gpt-5.4-nano,0.2572845721579599,0.5823494053550717,0.2217324383791974,-0.2382429562003606,0.2224398443343189
openai/gpt-5.5,0.4590351151347274,0.634322391441951,0.5410155320353361,1.0382917670534313,0.2478796108022038
qwen/qwen-turbo,0.201965519888068,-1.3000478402886806,0.1011877161010864,0.0486862028303883,0.3650472662746953
qwen/qwen3-14b,-0.8011002788812989,-1.1717743288844051,-1.3800778328819212,-1.4428057093491298,-0.7408329972773948
qwen/qwen3-next-80b-a3b-instruct,0.2574690034106269,0.2552270570485926,0.4968266988843847,0.643810230844519,0.7809940181169999
qwen/qwen3.5-flash-02-23,0.2666035801104114,0.2552270570485926,0.3113903515448414,0.1661509357346513,0.5037900693416736
tencent/hunyuan-a13b-instruct,0.3693204754185377,0.1386377443268666,-0.0653890534333194,-0.2138639914594052,-0.0286693717316431
z-ai/glm-4.5v,-0.4485996657012389,-1.8212530448344624,-1.0056007821815869,-1.810109300644844,-1.0569703505985564
z-ai/glm-4.6,-0.0256462170173087,0.2552270570485926,0.5253119801670424,0.5171979393791183,0.1416081811500335
z-ai/glm-4.7,0.2435896061630865,0.0736093453455368,0.4571280034613426,0.5214356215704319,0.2056640754803334
z-ai/glm-5,0.2852006393287977,0.6036513861930728,0.3293558113351037,0.5663642246778068,0.4520506379498507
z-ai/glm-5-turbo,0.1377535875006359,0.6036513861930728,0.6259796231659587,0.5399234197553633,0.7581730425332142
z-ai/glm-5.1,0.2202432167750337,0.6036513861930728,0.4754578195856537,0.2177116738052598,0.6105715925626589
