model,datasets,n_metric_obs,mean_z,median_z,rank
meta-llama/llama-3-8b-instruct,66,66,-0.6650755018253741,-0.7790370944438276,72
meta-llama/llama-3.1-8b-instruct,66,66,-0.6705845437189519,-0.7081480400230495,73
ibm-granite/granite-4.0-h-micro,66,66,-0.7190772909628861,-0.9451135186781758,74
google/gemma-2-27b-it,66,66,-0.8913328798435175,-0.6341319036434605,75
nvidia/nemotron-3-nano-30b-a3b,66,66,-0.9659810066450919,-0.9036313329669394,76
minimax/minimax-m2-her,66,66,-1.003257950337942,-1.1047167907500528,77
qwen/qwen3-14b,66,66,-1.0118242457317224,-0.9871291048291592,78
z-ai/glm-4.5v,67,67,-1.0737903423779156,-0.7700140481732521,79
meta-llama/llama-3.2-3b-instruct,66,66,-1.075880044879138,-1.2609745035323865,80
mistralai/mistral-small-3.1-24b-instruct,67,67,-1.1696684438283798,-0.8402851234995001,81
morph/morph-v3-fast,66,66,-1.4968238389715895,-1.8609055564958994,82
nousresearch/hermes-3-llama-3.1-70b,66,66,-1.56519556569911,-1.7139269256070868,83
