model,Brainstorming,Figurative Language,Humor,Problem Solving,STEM,Story / Narrative
deepseek/deepseek-chat,0.12532222012845912,-0.23029382244122015,0.08583123821591736,-0.3387579293043557,-0.11294944305803167,0.035401368926974174
deepseek/deepseek-chat-v3-0324,0.1663142139594196,0.14873128084782522,0.14706699489485395,-0.12312813097070385,-0.15234619905106986,0.21664234982250294
deepseek/deepseek-chat-v3.1,0.3980415912767275,0.1626926752221374,0.43554036078204184,0.19185932581694104,0.16831505190759888,0.4831792510842468
deepseek/deepseek-v3.1-terminus,0.5430869110640332,0.12304920144414289,0.5914343175975216,0.26525049902666964,0.4253349715995532,0.5990776492030655
deepseek/deepseek-v3.2,0.37022828955862913,0.31217868029959694,0.47493922600040533,0.4730600219268675,0.24341661392200006,0.4735095223213122
deepseek/deepseek-v3.2-exp,0.5326975353685471,0.20921092022224683,0.4631390629884107,0.487090405722966,0.45405030898335585,0.5858656683792706
google/gemini-2.5-flash,0.16640505368428296,0.8331412738002397,0.2896385438649313,0.333276718140446,0.5593326953736273,0.5445843929388374
google/gemma-2-27b-it,-0.24840449465335548,-1.110474143254925,-0.19680951615276332,-0.03301994142871001,-0.4076892211066494,-0.533440138916554
google/gemma-3-12b-it,0.039964021514971936,-0.028858028413110096,-0.10678293418231719,-0.17156774740281588,0.05012844346702927,0.05071780540639542
google/gemma-3-27b-it,0.3329979797212565,-0.5519495078803374,-0.04289880471600919,-0.23820242367831884,-0.232233882132884,0.23495498976298929
google/gemma-3-4b-it,0.19792231452955886,-0.1481408158150937,-0.15794199589960306,-0.8684848935930398,-0.11557929066908461,-0.339433669546141
google/gemma-4-26b-a4b-it,0.7342056616830833,0.8678428507851961,0.6154849618485579,0.36905271937454437,0.5724239933630129,0.38457902239468983
google/gemma-4-31b-it,0.7177422174724244,1.1025786711381238,0.6858817973614291,0.4314205450606142,0.7254960350114329,0.44509740465276393
ibm-granite/granite-4.0-h-micro,-1.0718641980671466,-0.5291993925524003,-0.5284367674327636,-0.5846476799421584,-0.4371515923639211,-0.999661865330988
meta-llama/llama-3-8b-instruct,-0.428886962811659,-0.7349091307375245,-0.645956560632376,-0.5863613700290234,-0.6498373318026015,-0.5770034833964425
meta-llama/llama-3.1-70b-instruct,-0.14406486805587404,-0.35712495754405704,-0.041633365144635795,0.15247159321386236,-0.450514799363271,-0.1912721312467483
meta-llama/llama-3.1-8b-instruct,-0.5674263632559259,-0.6674600133770163,-0.40678214470400736,-0.6801758427270881,-0.628895791485837,-0.6723784809837489
meta-llama/llama-3.2-11b-vision-instruct,-0.5350514671323362,-0.4585912387099503,-0.32669287665996616,-0.6141924434823702,-0.4187656418727748,-0.7212595479848719
meta-llama/llama-3.2-3b-instruct,-0.8257385340654512,-1.11617716443637,-1.1607983544711997,-0.8894855726044402,-0.7622226729356459,-1.1306475690908167
meta-llama/llama-3.3-70b-instruct,-0.3697521367943534,-0.8079852510235959,-0.13939324605147052,0.09608531152300556,-0.47852872355177006,-0.22483572240380975
meta-llama/llama-4-maverick,-0.5589520167087175,-0.8584337837134158,-0.051484072687180485,-0.6957766938549768,-0.5919739913874716,-0.34264376802800334
meta-llama/llama-4-scout,0.08402489438434967,-0.5417745989303366,-0.14953284808736075,-0.4241532260988555,-0.3513518878897092,-0.38597974176325217
minimax/minimax-01,-0.8399168244516245,-0.4968664455462059,-0.2895299750457558,-0.46633432729271684,-0.46214671157292536,-0.061733039678793775
minimax/minimax-m2-her,-1.0453915705829602,-1.0698727825874892,-0.9264214366432793,-0.9568100043465396,-0.46323846274971014,-1.349834608981508
mistralai/ministral-8b-2512,0.6306788134639391,-0.47598759828488574,-0.24165552042641153,-0.4710576730992024,0.00943459344524313,-0.009922999036640812
mistralai/mistral-large-2512,0.4389396632535885,0.09483199669071701,-0.1144859969901199,0.5118456994557714,0.29675903789840824,0.33012971314764517
mistralai/mistral-medium-3.1,0.5892285943604597,0.03544117314195969,0.100311450237853,0.40114301129377167,0.14282191513451956,0.7254058982256952
mistralai/mistral-nemo,-0.3321963079032518,-0.4235418001426513,0.0021961159958433876,-0.38679228889617817,-0.23049646696735004,-0.6969412160900897
mistralai/mistral-small-3.1-24b-instruct,-2.558802323552132,-0.3338006992422958,-0.7473479144282706,-0.6301805942351986,-2.0126653043468417,-1.3969397193660877
mistralai/mixtral-8x22b-instruct,0.4860649777888566,0.079312354824506,-0.1047065136460017,0.00927844898517877,0.2889806777959232,0.11315312660178607
mistralai/pixtral-large-2411,-0.030466078845478566,-0.29746992275871037,-0.34220042203029094,0.04828343136242423,-0.33524391997426034,-0.22589116846812973
moonshotai/kimi-k2-0905,0.7324980391817175,0.3269595652881875,0.5570740807836152,0.532064299301553,0.5834855131324898,0.6779803082724224
moonshotai/kimi-k2.5,0.8155187648616561,0.3682319342012359,0.5515932368413929,1.0187135127517875,0.3916462732193482,0.69540254090954
moonshotai/kimi-k2.6,0.8151893058904002,0.29372400604847804,0.3304323865898492,0.5636125215110227,0.31958160675861574,0.6283842363615566
morph/morph-v3-fast,-3.74684301519614,-0.6249412537608506,-1.5368107758804899,-1.7812764781843125,-0.989822983118324,-1.4272722249911212
nex-agi/deepseek-v3.1-nex-n1,0.21076621161853729,0.32872898971187603,-0.10216205462793021,0.42134710865915387,0.53618185510225,0.31347254361627647
nousresearch/hermes-3-llama-3.1-405b,-0.4114559909668871,-0.17209449303974136,0.13051975613941127,0.4162384678405601,-0.32830073257877357,-0.2869454983563308
nousresearch/hermes-3-llama-3.1-70b,-2.0653003366134004,-1.4678332849641567,-1.583068866651727,-1.2140000376080877,-1.0515321316173025,-1.904839502464468
nousresearch/hermes-4-405b,-0.09448653831510584,0.448526647842386,0.22245976154002842,0.7292743328526183,0.12964267990157963,-0.2605536417175855
nousresearch/hermes-4-70b,-0.40717166708717484,0.287174838277902,0.1653052368137432,0.30609823000986064,-0.11295747541052574,-0.4977154772286973
nvidia/nemotron-3-nano-30b-a3b,-0.18774319785275909,-1.6186685140795352,-1.1540357952217948,-1.9634401769111354,-0.35468721679933396,-0.5881370358833314
nvidia/nemotron-3-super-120b-a12b,0.1806037444729052,-0.15531336658105038,0.07745481088526374,-0.015623003096754512,0.526100282279149,0.43655941487190436
nvidia/nemotron-nano-12b-v2-vl,-0.33236025065226127,-0.365014214314253,-0.4153916259164247,-0.09639794325943947,-0.014770728444844755,-0.2707435592009499
nvidia/nemotron-nano-9b-v2,-0.1749702918591717,-0.1853818776568319,-0.8240396369127804,-0.3149397793941782,-0.10412664566250703,-0.48360380359474087
openai/gpt-4.1,0.22518217651093841,0.41051585312008454,0.45748926303703574,0.488367022887718,0.47349093582614105,0.4356784285833163
openai/gpt-4.1-mini,0.1715570128443967,0.3824590192630758,0.33564178770260933,-0.08889762111381495,0.1271680500566837,0.3069992577799148
openai/gpt-4o,-0.27947221260420224,0.43577333838645277,0.2982951062934987,0.6237306025509649,0.3613422648102111,0.03922172964716626
openai/gpt-4o-mini,-0.3737964233038564,0.28786195896763067,-0.12839362742657368,0.33859617085707927,0.23344071642062203,-0.18196769242860977
openai/gpt-5.1,0.7965485391796522,0.7033743861338152,0.6089651910375355,0.4780154714766634,0.490537593299274,0.7319751334615296
openai/gpt-5.4,0.9651888862672952,0.6927243989246374,0.7605675991412463,0.26222594475758115,0.8078994460481262,0.891290351054336
openai/gpt-5.4-mini,0.7151401042590644,0.6254952467305678,0.5548743997015921,0.17554688827286594,0.4235868859992349,0.42989857020205974
openai/gpt-5.4-nano,0.6062806361714789,-0.10650906067126054,0.2975581575225575,-0.3795730150359146,0.2580427101905581,0.18970570990199884
openai/gpt-5.5,0.6897035709939773,0.642115772863246,0.858909016842068,0.7814440227392322,0.651645293522444,0.7489646307412124
qwen/qwen-turbo,-0.335168574530133,0.2222916463416464,-0.27295140298834997,-0.03128098533917959,0.08476530768068703,-0.2680282728320665
qwen/qwen3-14b,-0.9593757000379858,-1.593046908464893,-1.3170751308405877,-1.6186313350495893,-0.92822634525696,-0.47701742261659064
qwen/qwen3-next-80b-a3b-instruct,0.5757711510378672,0.08325905499491157,0.37477537911814546,0.2338338703622028,0.3603334706043409,0.4909444552224067
qwen/qwen3.5-flash-02-23,0.4770717156275189,0.36171906124337805,0.24068069869917064,0.253632226047661,0.6652157204915373,0.34620743298701234
tencent/hunyuan-a13b-instruct,-0.7394545719361675,0.05178367075228483,-0.3655978142410192,-0.18821050628606323,-0.11603288023065152,-0.7921518762662073
z-ai/glm-4.5v,-1.1433590499135342,-1.3280461500562342,-0.6687026229903974,-1.265385339016777,-1.3173576105587632,-0.8652951752782865
z-ai/glm-4.6,0.19643748408054473,0.17025462035394248,0.17989631702265377,0.22581492125891273,0.3344995350179971,0.2606769894410452
z-ai/glm-4.7,0.4759138311464948,1.016287630327247,0.6129980859107467,0.7235081380204033,0.5055719173822668,0.33397056427010613
z-ai/glm-5,0.5661189907008156,0.9466639835785422,0.5511997559966273,0.6803202299556694,0.7634237867541721,0.4736806952193365
z-ai/glm-5-turbo,0.6508630945253879,0.8741690527233861,0.6456383929155864,0.6114235382449639,0.5843494293354073,0.5948534777188307
z-ai/glm-5.1,0.8558656932165879,1.0853975189597822,0.4966658464692105,0.4552324528549767,0.6497764713245777,0.7108912772154519
