model,datasets,n_metric_obs,mean_z,median_z,rank,n_datasets_new,n_obs_new,mean_z_new,median_z_new,rank_new,rank_delta
qwen/qwen3-next-80b-a3b-instruct,78,960,0.1571048636184014,0.2289889558779211,58,80,80,0.3690144654712018,0.3050098880718734,25.0,-33.0
nvidia/nemotron-3-super-120b-a12b,78,960,0.1570887047849143,0.2383951767589146,59,80,80,0.2212048582178853,0.2443713390745885,49.0,-10.0
openai/gpt-4o-mini,78,960,0.1543687066571874,0.182801090717891,60,81,81,0.0509647983062378,0.1019428399795123,73.0,13.0
nousresearch/hermes-4-70b,78,960,0.1458087082160273,0.1508604444936375,63,80,80,-0.0552077335596207,-0.0467365961896786,84.0,21.0
deepseek/deepseek-chat-v3-0324,78,960,0.1215835383263133,0.1963525668548524,68,80,80,0.1211669280433768,0.1425824639324609,69.0,1.0
openai/gpt-5.4-nano,78,960,0.1131364768815521,0.1469268802984383,70,80,80,0.1492928799202975,0.1200509060488519,64.0,-6.0
qwen/qwen-turbo,78,960,0.1126458447320135,0.1742145285831552,71,80,80,-0.0591819581209714,-0.0156370708210746,86.0,15.0
nousresearch/hermes-3-llama-3.1-405b,78,960,0.1037454379909666,0.1193944171977622,72,80,80,-0.0596290121154944,-0.0700643829659945,87.0,15.0
mistralai/mistral-large-2512,78,960,0.1016956879326165,0.2059703899998811,73,81,81,0.2484046160675991,0.3165119307977765,45.0,-28.0
baidu/ernie-4.5-vl-424b-a47b,78,960,0.0737425559572088,0.1132163611271201,76,81,81,0.1337457189152902,0.1081654297166602,65.0,-11.0
deepseek/deepseek-chat,78,960,0.0703424466955145,0.1894781019479934,77,80,80,0.0165891719574667,0.1351451820746661,77.0,0.0
google/gemma-3-12b-it,78,960,0.0554295522862342,0.1184666333138834,79,81,81,0.0416270847570962,0.0501014217640518,75.0,-4.0
arcee-ai/trinity-large-preview,78,960,0.0469097268781097,0.1453583979790065,80,80,80,-0.1790926931565052,-0.0871582991556551,99.0,19.0
mistralai/pixtral-large-2411,78,960,0.0224434657220733,0.1272235768565339,81,81,81,-0.1620049930355484,-0.0404217494093723,97.0,16.0
meta-llama/llama-3.3-70b-instruct,78,960,0.0097341959793873,0.1415515911617648,82,80,80,-0.2093790829845369,-0.1122542079115613,102.0,20.0
amazon/nova-lite-v1,78,960,-0.0106638947931454,0.1174207138423413,85,81,81,-0.2093946802959188,-0.1210147091721018,103.0,18.0
google/gemma-3-27b-it,78,960,-0.0261129802087847,0.0753517854297586,88,81,81,-0.0097203623663437,0.0728141588849018,78.0,-10.0
meta-llama/llama-3.1-70b-instruct,78,960,-0.0393834844787849,0.0633297859889476,89,80,80,-0.1343091269393629,-0.1006458475865672,94.0,5.0
amazon/nova-pro-v1,78,960,-0.0435889365467679,0.0706937005169318,91,81,81,-0.2118370060079566,-0.115682320883052,105.0,14.0
amazon/nova-2-lite-v1,78,960,-0.0626841498226953,0.0657454119384757,92,81,81,-0.1792731885661652,-0.1336393589411121,100.0,8.0
nvidia/nemotron-nano-9b-v2,78,960,-0.0633345759215426,0.0041984430612252,93,80,80,-0.2574296063213447,-0.1591054868037851,109.0,16.0
meta-llama/llama-4-scout,78,960,-0.0759673668390495,0.0526550625870561,95,81,81,-0.2726186954534902,-0.2505145303311938,110.0,15.0
minimax/minimax-01,78,960,-0.0996319583643167,0.0276840976890192,98,81,81,-0.252974912596796,-0.1028944969696507,108.0,10.0
nvidia/nemotron-nano-12b-v2-vl,78,960,-0.1204550768420795,-0.0809528792004254,99,81,81,-0.16111180876246,-0.1881333698904247,96.0,-3.0
mistralai/ministral-8b-2512,78,960,-0.1308231155051898,-0.0605899140857415,100,81,81,-0.0299176013033387,-0.0515521069971836,82.0,-18.0
meta-llama/llama-3.2-11b-vision-instruct,78,960,-0.1469581925520736,-0.1124820058545967,103,81,81,-0.4173381910027371,-0.421728986316005,119.0,16.0
mistralai/mistral-nemo,78,960,-0.1483519012900609,-0.0857492925712543,104,80,80,-0.3282074149585889,-0.2279651767260753,114.0,10.0
meta-llama/llama-4-maverick,78,960,-0.1664220247610338,-0.0019833382280858,105,81,81,-0.333797949336508,-0.2290426607975061,116.0,11.0
openai/gpt-5.4-mini,78,960,-0.1744942627186873,0.3476253810034397,107,80,80,0.2965340242437529,0.436271571654716,36.0,-71.0
amazon/nova-micro-v1,78,960,-0.192912103893723,-0.1214642976001035,109,80,80,-0.4020818866193864,-0.3937597242292391,118.0,9.0
google/gemma-3-4b-it,78,960,-0.2039149259910647,-0.0857492925712543,110,81,81,-0.1816883049098837,-0.1207516467816043,101.0,-9.0
meta-llama/llama-3.1-8b-instruct,78,960,-0.2501469749828147,-0.1362916114385274,116,80,80,-0.5050709379719833,-0.4799267155745758,121.0,5.0
deepcogito/cogito-v2.1-671b,78,960,-0.2622219543295957,0.170206707907584,119,80,80,0.1257022424764877,0.2167323123380076,68.0,-51.0
meta-llama/llama-3-8b-instruct,78,960,-0.2731732230841727,-0.1892781650597195,121,80,80,-0.4980516720278961,-0.4918382712735425,120.0,-1.0
ibm-granite/granite-4.0-h-micro,78,960,-0.2791016766034912,-0.1833100757461704,122,80,80,-0.5634851856904972,-0.5305660117837925,123.0,1.0
google/gemma-2-27b-it,78,960,-0.2937777704355574,-0.1221583189506097,123,80,80,-0.6300242869644979,-0.3791143041914232,124.0,1.0
tencent/hunyuan-a13b-instruct,78,960,-0.3068649203688755,-0.1138431670210842,124,80,80,-0.3463853811706125,-0.2177131885753197,117.0,-7.0
meta-llama/llama-3.2-3b-instruct,78,960,-0.4298973453027355,-0.2119898920407656,125,80,80,-0.8008361559559865,-0.6538541771405149,130.0,5.0
minimax/minimax-m2-her,78,960,-0.4838896717467847,-0.4382531043392074,126,80,80,-0.8057832479457167,-0.7561288067451357,132.0,6.0
nvidia/nemotron-3-nano-30b-a3b,78,960,-0.5260188738297504,-0.3639346839345799,128,80,80,-0.7789991257844233,-0.5767981553913362,129.0,1.0
mistralai/mistral-small-3.1-24b-instruct,78,957,-0.6089568249839444,-0.1925462778464554,129,81,81,-0.824685552102442,-0.6198694284438575,133.0,4.0
morph/morph-v3-fast,78,960,-0.6984699307305459,-0.7935050541174243,131,80,80,-1.225442736129304,-1.446800798221942,138.0,7.0
nousresearch/hermes-3-llama-3.1-70b,78,960,-0.7428167510960129,-0.6190269952959396,134,80,80,-1.2244337690421778,-1.224435696007885,137.0,3.0
z-ai/glm-4.5v,78,960,-0.7867267840139728,-0.4876039087600834,135,81,81,-0.7379833884887967,-0.5384751024229327,128.0,-7.0
qwen/qwen3-14b,78,960,-0.9338492847235724,-0.5779861568775249,136,80,80,-0.8759606721463296,-0.7224211966711838,134.0,-2.0
